Dept,Q_2010,Q_2011,Q_2012,Quarter,Store
22,85412.31999999999,112831.34999999999,115618.20999999999,1,1
22,83542.1,84266.78,86638.35000000002,2,1
22,95372.53999999998,98819.54000000001,86177.75000000001,3,1
22,141274.38,128232.99999999999,33260.57,4,1
23,161797.39,244035.05000000002,255263.36000000002,1,1
23,291960.54,271475.49,287186.36,2,1
23,269078.77999999997,262104.33,254766.24,3,1
23,376047.01,339245.42,79155.44,4,1
24,50741.61,69502.71,66408.23000000001,1,1
24,70193.75,54919.03,59105.0,2,1
24,97088.17000000001,81014.92,99620.93000000001,3,1
24,113278.20999999999,95406.64,27517.53,4,1
25,92509.42,111024.67,129624.36,1,1
25,154491.53,134159.06,144416.09000000003,2,1
25,117279.18000000001,122117.85,117189.25,3,1
25,148952.81999999998,138626.05,41393.88,4,1
26,71320.58,77358.82,87303.48,1,1
26,96586.95000000001,77122.75,78593.57,2,1
26,75914.20999999999,68342.22000000002,69615.79,3,1
26,123782.24999999999,105908.36999999998,35974.62,4,1
27,13816.25,17940.19,21545.280000000002,1,1
27,12689.48,12368.34,12946.94,2,1
27,13427.700000000003,12513.809999999998,15073.12,3,1
27,27753.49,29917.880000000005,6582.42,4,1
28,7464.82,8590.77,8035.52,1,1
28,8325.22,6580.199999999999,5657.4400000000005,2,1
28,6276.970000000001,5439.26,4502.129999999999,3,1
28,12133.27,9172.7,2637.0,4,1
29,45736.57,60305.75,64095.219999999994,1,1
29,55892.27,53287.97,49732.73,2,1
29,60978.21,50192.54,49258.8,3,1
29,84362.59999999999,75686.27,15569.82,4,1
30,34697.479999999996,45897.79,42649.83,1,1
30,54292.490000000005,49058.85999999999,43166.64,2,1
30,50299.64,45087.58000000001,36981.35,3,1
30,42360.32,33726.060000000005,10169.15,4,1
31,20901.629999999997,30186.289999999997,24357.57,1,1
31,21135.46,20804.249999999996,16639.809999999998,2,1
31,47738.009999999995,47575.12,42605.88,3,1
31,38401.55,27791.830000000005,6282.860000000001,4,1
32,84718.48,100237.15,113101.66999999998,1,1
32,107729.37999999999,98352.18000000001,96154.18000000001,2,1
32,81857.32999999999,89137.55,76606.94000000002,3,1
32,159426.98,142408.85,23250.89,4,1
33,52900.09000000001,61835.6,61093.0,1,1
33,72876.36,55674.89,62255.649999999994,2,1
33,88698.63,78043.27,94859.38,3,1
33,103782.1,92443.50999999998,25877.179999999997,4,1
34,99527.49,130291.96000000002,154334.51,1,1
34,174717.29,140131.25999999998,192107.04000000004,2,1
34,125913.03,140770.03999999998,136619.59,3,1
34,160586.45,152764.72,41145.55,4,1
35,19873.9,30696.329999999994,31879.32,1,1
35,39783.5,37758.14,36609.44,2,1
35,30005.54,31619.600000000002,24327.910000000003,3,1
35,38339.5,34813.91,6902.43,4,1
36,4832.0,9514.0,16962.16,1,1
36,29720.12,28676.0,31169.239999999998,2,1
36,15345.5,13280.28,12953.599999999999,3,1
36,20081.0,24245.359999999997,4317.85,4,1
37,24624.15,36094.82,36654.4,1,1
37,37730.840000000004,35230.73,35409.77,2,1
37,38043.29,38088.740000000005,36618.63,3,1
37,37672.67,34303.25,9999.51,4,1
38,774608.22,910564.7899999998,1052111.03,1,1
38,1227464.45,1031378.58,996894.5299999998,2,1
38,1066404.1,1034199.5800000002,984761.1400000001,3,1
38,1053399.6099999999,1012607.07,292492.73,4,1
40,502528.57999999996,757096.05,816451.1599999999,1,1
40,739790.14,733594.5299999999,766584.83,2,1
40,719728.16,758571.7399999999,744959.4999999999,3,1
40,832999.7000000001,758711.7000000002,235972.41999999998,4,1
41,9091.66,10510.869999999999,6041.64,1,1
41,11294.76,9968.0,5492.97,2,1
41,22012.87,12085.75,11522.17,3,1
41,24334.769999999997,24679.840000000004,5226.76,4,1
42,66481.23999999999,97833.17000000001,106809.85,1,1
42,110392.57,104259.63999999998,107593.03999999998,2,1
42,102544.85,107907.80999999998,103016.85,3,1
42,103884.21999999999,95787.92,28955.49,4,1
44,34479.3,48119.95,60835.399999999994,1,1
44,57047.799999999996,55638.9,60259.23,2,1
44,58464.48,62616.88,67956.67,3,1
44,78952.1,87933.95999999999,24494.92,4,1
45,263.08,172.04999999999998,83.79,1,1
45,136.19,117.69999999999999,83.76,3,1
45,352.57,197.49,31.410000000000004,4,1
46,153980.28,229225.22999999998,253449.38999999998,1,1
46,248198.92,261386.02,269297.67,2,1
46,233333.96,253981.58999999997,237732.55,3,1
46,308203.02999999997,293196.25,69822.66,4,1
47,-1491.0,0.0,-397.0,1,1
47,14.0,-298.0,178.0,2,1
47,0.0,0.0,317.0,3,1
48,3992.0,6781.0,13966.0,1,1
48,3759.0,5169.0,10684.0,2,1
48,2680.0,5355.0,10893.99,3,1
48,15902.0,27391.0,8143.0,4,1
49,112845.98999999999,157118.22999999998,160474.83999999997,1,1
49,143863.47000000003,145388.61,137831.44999999998,2,1
49,152617.46999999997,170241.35,138662.0,3,1
49,142633.71999999997,133285.58,40661.46,4,1
52,23869.469999999998,28591.78,23529.879999999997,1,1
52,35057.96,31448.069999999996,27665.610000000004,2,1
52,30780.34,27056.82,23985.41,3,1
52,42932.82,33342.46,8567.21,4,1
54,2347.9700000000003,480.4800000000001,402.04,1,1
54,2698.9700000000003,467.79999999999995,585.04,2,1
54,1907.0,527.4600000000002,350.42,3,1
54,1348.5600000000002,780.2,196.56,4,1
55,131212.65000000002,172060.17,165395.21999999997,1,1
55,149102.53,131969.63999999998,122240.5,2,1
55,138630.03999999998,131163.59999999998,115788.90999999999,3,1
55,271893.74,259916.15,43578.45,4,1
56,43145.189999999995,60608.25,70078.56999999999,1,1
56,110902.37,96933.32,88720.01000000002,2,1
56,22886.34,15148.5,20137.510000000002,3,1
56,20076.09,17483.28,5949.300000000001,4,1
58,35749.97,25390.0,38964.0,1,1
58,58215.0,38766.97,32053.97,2,1
58,51268.0,51013.97,45449.0,3,1
58,40507.0,44850.97,20035.0,4,1
59,10265.680000000002,5739.44,2861.5,1,1
59,12508.45,3637.2400000000002,2259.24,2,1
59,8574.800000000001,2933.6899999999996,2308.4199999999996,3,1
59,48249.51000000001,22599.429999999997,724.4399999999999,4,1
60,8199.8,12655.4,12820.2,1,1
60,13198.2,13455.199999999999,12571.8,2,1
60,13563.0,12759.999999999998,11601.0,3,1
60,16118.8,14784.0,4275.0,4,1
67,74308.86,83996.73,94408.02,1,1
67,129375.54999999999,114645.75000000001,121221.77000000002,2,1
67,77704.7,71395.06000000001,74434.65000000001,3,1
67,100960.01,94434.84000000001,26464.54,4,1
71,27919.370000000003,36005.64,46743.59,1,1
71,30193.070000000007,26003.38,31847.800000000003,2,1
71,34670.18,39574.97000000001,32829.03,3,1
71,36741.88,40575.91,7638.87,4,1
72,498542.38999999996,595551.96,709317.06,1,1
72,514797.36000000004,477444.92,516367.46,2,1
72,507295.01,555914.3200000001,542352.92,3,1
72,818989.3200000002,872038.4899999999,168251.01,4,1
74,99833.15000000001,144141.07,160752.33000000002,1,1
74,146948.5,138517.40999999997,158209.0,2,1
74,173865.02000000005,149422.22000000003,154406.09,3,1
74,160027.05000000002,144387.43999999997,35845.04,4,1
77,0.0,0.0,396.0,1,1
79,286690.99,410083.08999999997,470699.64999999997,1,1
79,439450.56,436440.06,459354.2,2,1
79,425922.99000000005,461386.11000000004,450183.0900000001,3,1
79,434681.2899999999,443712.69,139790.67,4,1
80,124654.11000000002,189858.54,240219.52000000002,1,1
80,196489.00999999998,216992.72,256600.74,2,1
80,203035.62,223671.38999999996,255176.07999999996,3,1
80,224298.61000000002,241768.63,78157.02,4,1
81,237134.27000000002,349188.36,398518.56999999995,1,1
81,381485.93,388666.42999999993,417022.88,2,1
81,381631.76000000007,403949.41,403644.04000000004,3,1
81,401060.5,375358.43999999994,120979.02,4,1
82,152656.85,256572.32999999996,257726.78000000003,1,1
82,230362.26,262713.52,263963.99,2,1
82,227284.03000000006,261558.58000000005,256859.10000000003,3,1
82,379373.19,332922.39,82091.09,4,1
83,56181.90000000001,83340.37999999999,84064.91,1,1
83,71123.62,69769.75,75966.08999999998,2,1
83,67361.73999999999,74850.45000000001,80011.31000000001,3,1
83,67628.06,62170.97,23209.82,4,1
85,36790.990000000005,38342.22,36800.85,1,1
85,56605.590000000004,46452.93999999999,47660.329999999994,2,1
85,51989.69999999999,42078.420000000006,38704.32000000001,3,1
85,65765.56,54271.00000000001,11618.279999999999,4,1
87,242761.47000000003,618914.6000000001,681217.5300000001,1,1
87,438623.22,625660.2400000001,670568.91,2,1
87,496430.62999999995,676125.9099999998,675482.0399999998,3,1
87,602598.87,638437.69,212076.53,4,1
90,604137.58,940081.6100000001,1142787.5699999998,1,1
90,959731.46,1047075.29,1128178.0799999998,2,1
90,967918.6400000001,1171982.0499999998,1141806.7000000002,3,1
90,1110429.8,1211638.9500000002,361371.61,4,1
91,494997.64,784630.1099999999,878074.5700000002,1,1
91,789822.2599999999,830880.5600000002,879229.45,2,1
91,825037.94,912514.8200000001,874646.7899999999,3,1
91,838977.12,820991.69,256365.96,4,1
92,1044568.3999999999,1586720.73,1864826.4199999997,1,1
92,1591285.41,1650006.1600000001,1815002.77,2,1
92,1616450.78,1806903.8599999999,1835528.84,3,1
92,1946318.4700000002,2018072.94,594947.86,4,1
93,499915.59,833209.92,971726.8,1,1
93,841178.3200000001,943444.42,999171.95,2,1
93,857006.1300000001,1008581.1,1008992.3899999999,3,1
93,973404.6100000001,1007987.3600000001,308364.49,4,1
94,491104.46,748606.65,829145.85,1,1
94,844881.5100000001,911096.72,861168.46,2,1
94,803169.5499999999,927219.4900000001,825737.76,3,1
94,773217.52,769954.8799999999,249518.4,4,1
95,885374.7100000001,1354300.8399999999,1542862.55,1,1
95,1579553.79,1603753.28,1695822.4,2,1
95,1590759.3199999998,1791008.3699999999,1682154.79,3,1
95,1551344.2500000002,1501179.8199999998,492290.77,4,1
96,0.0,341693.77999999997,440013.01,1,1
96,0.0,467308.94,516967.76,2,1
96,367155.0,465056.0199999999,475308.3800000001,3,1
96,401083.07,442099.64,140037.86,4,1
97,250871.82,414365.45999999996,458851.8700000001,1,1
97,424822.57,477606.26,474944.9099999999,2,1
97,450273.11999999994,511255.02,485111.73000000004,3,1
97,480763.04000000004,456581.0199999999,149204.06,4,1
98,93271.37,139406.23,162296.12,1,1
98,144592.56,146392.08,159828.26,2,1
98,135149.43,145848.37999999998,147234.26,3,1
98,180411.47,184831.09000000003,52109.97,4,1
99,0.0,430.0,2230.0,1,1
99,0.0,330.0,485.0,2,1
99,0.01,690.0,40.36,3,1
99,0.0,6405.0,715.0,4,1
1,296395.43,357004.01,407320.95,1,2
1,410614.94999999995,395084.9600000001,394618.80999999994,2,2
1,305253.22000000003,308540.43,318297.98,3,2
1,559634.58,506113.47000000003,142372.46,4,2
2,535093.9600000001,770877.5599999999,857656.0800000001,1,2
2,879192.1200000001,831075.63,858048.37,2,2
2,886703.0700000001,899140.8599999999,872397.88,3,2
2,929773.8799999999,851813.4099999999,253775.1,4,2
3,111695.68,150493.20999999996,179435.22,1,2
3,150457.43000000002,144169.13999999996,142482.44,2,2
3,395626.69999999995,404435.27999999997,404682.37999999995,3,2
3,191739.66999999998,179114.99,44816.42,4,2
4,355642.67999999993,542093.91,577926.63,1,2
4,593879.1100000001,558623.36,598937.1499999999,2,2
4,606013.6200000001,616536.53,597787.4099999999,3,2
4,683270.9900000001,610651.0000000001,180533.93,4,2
5,278742.82,361908.93999999994,398696.17,1,2
5,353273.19999999995,315148.87999999995,287029.8500000001,2,2
5,296605.6,297785.7,291091.18,3,2
5,734476.1300000001,639419.0299999999,115232.59,4,2
6,66889.14,65508.42,58598.64,1,2
6,110040.73999999999,84229.93999999999,67253.15000000001,2,2
6,88014.66999999998,64603.619999999995,60141.70000000001,3,2
6,167888.36000000002,119207.48,21222.84,4,2
7,228646.92999999996,317777.33,331366.37,1,2
7,505084.24,459355.23999999993,529121.24,2,2
7,375358.2,367566.59,407782.0399999999,3,2
7,1106477.78,1015593.6700000002,144201.07,4,2
8,508513.22000000003,706762.9299999999,763339.4399999998,1,2
8,770983.7100000002,742661.99,797773.0500000002,2,2
8,732586.2300000001,758048.4800000001,764144.47,3,2
8,848818.9900000001,750986.85,250534.46999999997,4,2
9,230750.85,325345.16,385751.52999999997,1,2
9,498920.0,452673.02,502533.49,2,2
9,455986.06000000006,454537.19999999995,455899.52999999997,3,2
9,538213.2,475667.91,139470.66999999998,4,2
10,312965.65,462897.37,494922.39,1,2
10,542547.21,499080.76999999996,518902.93999999994,2,2
10,526983.2699999999,548873.3500000001,504154.27,3,2
10,510011.7899999999,491942.70999999996,141675.47,4,2
11,159840.63,256890.19000000003,270683.00999999995,1,2
11,335710.98,314509.99000000005,314042.60000000003,2,2
11,317043.45000000007,327723.70999999996,294533.49,3,2
11,357070.31000000006,316019.13,79656.63,4,2
12,60561.509999999995,80698.05,93296.20000000001,1,2
12,115449.16,102508.49999999999,111090.55999999998,2,2
12,113572.70999999999,101533.69,104977.05999999998,3,2
12,103008.10999999999,89009.3,30535.469999999998,4,2
13,395491.23000000004,559760.51,588426.6900000001,1,2
13,633228.91,558411.78,603619.78,2,2
13,636160.77,613246.26,600994.4899999999,3,2
13,657652.5,559774.62,188100.63,4,2
14,182294.77,236530.21,276150.72000000003,1,2
14,238636.80000000002,233452.09000000003,274276.75,2,2
14,244245.84000000005,236811.99,230449.66999999998,3,2
14,420216.11000000004,399441.52999999997,75414.53,4,2
16,158895.28,243383.74,276889.3,1,2
16,721372.9099999999,576559.21,630729.8300000001,2,2
16,368931.6,334489.43000000005,309030.54999999993,3,2
16,116707.86,93603.31000000001,31147.67,4,2
17,132129.22,157210.74,192138.17,1,2
17,152417.62000000002,150318.79,173721.38999999998,2,2
17,169910.46000000002,182411.53,172644.17,3,2
17,218536.05,218694.66,51959.35,4,2
18,59944.619999999995,66240.05,86233.76999999999,1,2
18,36080.880000000005,40453.729999999996,28510.89999999999,2,2
18,10419.39,16567.09,22441.54,3,2
18,449318.36000000004,427239.52999999997,77244.76000000001,4,2
19,35731.42999999999,51516.590000000004,46821.12,1,2
19,47441.31000000001,48396.85,46748.39000000001,2,2
19,59653.17,49733.08,43378.42,3,2
19,78091.46999999999,55872.83,16257.25,4,2
20,52914.66,64168.85999999999,79853.67999999998,1,2
20,88333.51,71628.62,81535.33,2,2
20,81317.67,75561.1,73005.68000000001,3,2
20,69576.26,66103.04,18054.170000000002,4,2
21,96397.9,114393.29999999999,117208.26,1,2
21,143721.94,122881.26,108128.51999999999,2,2
21,141664.90000000005,128102.97,107177.39000000001,3,2
21,166064.47,138051.06,33472.43,4,2
22,123223.17000000003,175089.98000000004,199641.91999999998,1,2
22,131779.38,124019.67,135308.86,2,2
22,150155.03,144758.21,156613.96000000002,3,2
22,243348.50999999998,211010.07,53042.22,4,2
23,209992.7,312646.2300000001,326459.22000000003,1,2
23,402662.81000000006,360460.25,390612.76,2,2
23,370528.60000000003,356049.88999999996,348769.69,3,2
23,519034.27999999997,472619.54000000004,101562.2,4,2
24,68717.08,81654.64000000001,74762.86000000002,1,2
24,91875.54000000001,79179.2,75589.56000000001,2,2
24,133018.87,125741.20000000003,120702.13,3,2
24,164017.95,141138.37,31870.33,4,2
25,131698.75,178739.95,177440.78000000003,1,2
25,242914.75,198436.93999999994,200330.49,2,2
25,188169.3,187006.07,170308.12000000002,3,2
25,239506.40999999997,214334.78,58943.35999999999,4,2
26,93528.33,105472.72999999998,112570.79000000001,1,2
26,133311.72,105684.95999999999,104565.97999999998,2,2
26,102727.05,103434.89,93797.85,3,2
26,181751.93000000002,159667.82,40210.64,4,2
27,19094.0,25204.52,24758.42,1,2
27,17274.25,15391.240000000002,15932.33,2,2
27,18785.149999999998,18048.910000000003,18399.87,3,2
27,42656.33,39303.49999999999,7978.99,4,2
28,10969.75,11339.82,11185.37,1,2
28,11520.88,8517.140000000001,7039.45,2,2
28,7717.05,5950.65,5517.0,3,2
28,18393.59,12814.460000000001,3279.4300000000003,4,2
29,68551.01999999999,89692.65999999999,89108.02,1,2
29,89540.37999999999,78673.04000000001,79672.77,2,2
29,90345.42,80738.23999999999,80040.57999999999,3,2
29,130337.01,116460.04999999999,23782.83,4,2
30,48497.58,67173.06,58257.29000000001,1,2
30,82351.90999999999,66000.70000000001,60802.380000000005,2,2
30,78483.86,64587.4,57677.630000000005,3,2
30,65045.740000000005,48731.22999999999,14696.439999999999,4,2
31,27383.289999999997,42532.2,41454.13,1,2
31,35134.170000000006,39259.990000000005,33813.46,2,2
31,67354.97,65412.88,61849.24999999999,3,2
31,66440.12000000001,60210.31999999999,14675.47,4,2
32,122121.70000000001,148434.94999999998,145719.52,1,2
32,157327.62,131191.6,149102.91999999998,2,2
32,133452.99,123798.45999999999,120751.44000000003,3,2
32,217340.02,198833.77,32903.840000000004,4,2
33,60874.509999999995,72916.19000000002,68937.6,1,2
33,90699.67,77476.97,74786.61,2,2
33,111418.39,102977.58999999998,98607.23,3,2
33,148176.69,137737.56000000003,26188.86,4,2
34,155465.72,181199.25,202179.72,1,2
34,281401.67000000004,233067.30000000005,263235.36,2,2
34,219739.57,222733.52000000002,209474.40000000002,3,2
34,259498.03,220851.78000000003,67267.78,4,2
35,31028.010000000002,45009.07000000001,48671.94,1,2
35,61336.0,56195.159999999996,63677.81,2,2
35,42263.0,51337.41999999999,36133.96,3,2
35,53604.6,53366.43000000001,11585.77,4,2
36,11966.0,21162.5,21133.59,1,2
36,65638.47,56059.47,63299.0,2,2
36,29511.739999999998,21324.18,23537.86,3,2
36,30114.989999999998,27495.11,5097.42,4,2
37,38866.88,56880.920000000006,61250.14000000001,1,2
37,62158.68,55565.29000000001,58350.28,2,2
37,62844.47999999999,57886.55999999999,56884.75,3,2
37,58684.579999999994,55745.03999999999,18418.26,4,2
38,900320.1799999999,1111334.13,1131386.54,1,2
38,1250127.53,1130481.65,1004929.09,2,2
38,1067483.85,1102528.51,905736.4800000001,3,2
38,1194711.01,1089465.45,282940.01,4,2
40,688835.25,979483.0900000002,1063523.88,1,2
40,1041432.47,962731.18,1023237.13,2,2
40,979520.2,991520.8499999999,1004610.25,3,2
40,1146705.6600000001,981365.58,315996.57,4,2
41,12181.15,23655.5,19925.38,1,2
41,22089.43,40010.75,33263.55,2,2
41,33956.880000000005,23894.45,32469.68,3,2
41,66166.31999999999,51553.04,11521.44,4,2
42,68829.70000000001,100000.58000000002,118859.54000000001,1,2
42,120367.86,113875.75,122006.17,2,2
42,117490.05999999998,118384.82999999997,114479.66,3,2
42,122013.09000000001,103822.70999999999,33816.7,4,2
44,59622.159999999996,79115.18,86876.82,1,2
44,78109.31999999999,85661.51000000001,79373.25,2,2
44,85412.94,92841.53,94613.14,3,2
44,124030.63999999997,128018.49,42437.409999999996,4,2
45,490.75,288.53,20.44,1,2
45,-54.02,237.74,28.380000000000003,2,2
45,453.51,0.0,43.35,3,2
45,252.5,151.57999999999998,10.47,4,2
46,233012.45,329942.07,360840.58,1,2
46,388000.86,388741.74999999994,402735.1099999999,2,2
46,344628.37000000005,376221.7,370675.94,3,2
46,474894.38999999996,466647.6099999999,107230.58,4,2
47,0.0,950.0,15.0,1,2
47,70.0,0.0,0.0,2,2
47,-463.0,0.0,128.0,3,2
48,10542.0,16449.3,19281.3,1,2
48,10184.0,8768.0,17826.98,2,2
48,12484.0,11898.0,21479.0,3,2
48,25689.78,23844.0,10364.0,4,2
49,132965.14,207791.99000000005,245286.56,1,2
49,187095.52,196733.40000000002,197100.94,2,2
49,221795.85,223087.45,206988.37999999998,3,2
49,187693.07,159692.40000000002,60059.89,4,2
52,37448.12,47437.78,52904.29,1,2
52,53183.57,48967.299999999996,48312.85,2,2
52,52443.63,54714.39,45139.83,3,2
52,67635.64000000001,69906.94,15123.079999999998,4,2
54,2365.0,883.4799999999998,707.1799999999998,1,2
54,3380.0,313.44000000000005,565.64,2,2
54,2387.9700000000003,779.24,218.62,3,2
54,1718.3999999999999,745.9799999999999,147.44,4,2
55,142684.61,155049.41,143637.01,1,2
55,155823.4,125059.45999999999,113726.28000000001,2,2
55,143071.45,127590.13999999998,106437.97999999998,3,2
55,330956.14999999997,283771.53,39815.15,4,2
56,47321.229999999996,80943.01000000001,84442.3,1,2
56,170985.83000000002,124952.56,130663.75,2,2
56,25750.82,18483.809999999998,20434.72,3,2
56,42935.89000000001,38631.77,7406.799999999999,4,2
58,200044.82,218431.0,276611.0,1,2
58,285514.0,222909.97,235655.0,2,2
58,335384.0,270532.44,267549.0,3,2
58,300018.0,366573.5,111010.0,4,2
59,12003.36,9019.839999999998,6005.46,1,2
59,14563.899999999998,5388.709999999999,4401.6,2,2
59,12755.91,5035.71,4573.890000000001,3,2
59,87697.66,36333.03,1208.3700000000001,4,2
60,0.0,1641.7999999999997,3542.0,1,2
60,28.0,2990.2,3860.0,2,2
60,79.8,3176.8,3951.0,3,2
60,457.4,3586.6,1278.0,4,2
67,121580.48999999999,140408.82,150750.84,1,2
67,206004.85,190021.69,195691.84000000005,2,2
67,123360.51999999999,119699.90999999997,117951.90999999999,3,2
67,175432.99,151348.06999999998,41659.619999999995,4,2
71,47726.14,60873.66000000001,76950.39999999998,1,2
71,47447.28,48671.52,55589.89000000001,2,2
71,54193.95,64102.76,64721.47,3,2
71,61129.420000000006,65189.62999999999,16153.02,4,2
72,707803.1,995788.6999999998,1048433.2300000001,1,2
72,734462.5499999999,761176.5200000001,760898.9,2,2
72,814924.96,783606.2300000001,836232.7000000001,3,2
72,1410847.0099999998,1333077.88,241666.24,4,2
74,159159.05000000002,217890.4,237310.14000000004,1,2
74,215305.53999999998,192021.38,206910.92,2,2
74,235241.11999999997,224203.31999999998,218989.87,3,2
74,244764.11,217081.49,60178.72,4,2
78,24.0,0.0,45.64,1,2
78,0.0,30.0,6.0,3,2
79,303768.32999999996,414591.81,420542.84,1,2
79,438287.7,417903.42,412165.33,2,2
79,432188.87999999995,438723.35,415160.39,3,2
79,450390.30000000005,410410.81999999995,130417.70000000001,4,2
80,215586.42,312723.57,337109.74999999994,1,2
80,347229.54999999993,326435.26,340595.91,2,2
80,341165.55,360626.65,335371.41,3,2
80,369390.21,333985.83,103682.01,4,2
81,249800.08000000002,383503.77,402806.02999999997,1,2
81,419127.05,395940.81999999995,427463.36,2,2
81,409531.38000000006,404532.58,405639.23,3,2
81,433021.49,382302.11,119401.35,4,2
82,168029.98,268055.43000000005,288095.81999999995,1,2
82,277798.19,287566.27999999997,315048.46,2,2
82,261328.78000000003,297012.29,323217.95999999996,3,2
82,473842.13,464908.7700000001,99650.17,4,2
83,55403.95,72330.32,83801.51999999999,1,2
83,76551.97,74655.62,78020.37,2,2
83,70212.94,77190.13999999998,76065.35,3,2
83,69096.27,60636.490000000005,22667.97,4,2
85,34468.100000000006,41686.96,36441.38,1,2
85,55327.44,49769.119999999995,42518.759999999995,2,2
85,52560.68,46067.560000000005,37770.80000000001,3,2
85,66381.18999999999,51299.08,10811.05,4,2
87,227632.15999999997,272458.71,374469.51000000007,1,2
87,290768.82,276254.49,306649.76,2,2
87,358900.98,315881.97,310400.75999999995,3,2
87,364628.20000000007,357514.43,109857.18,4,2
90,789210.74,1159112.37,1305771.86,1,2
90,1188747.09,1203291.4000000001,1276254.7200000002,2,2
90,1229930.7799999998,1335500.49,1291488.07,3,2
90,1373321.8599999999,1389559.42,416261.01,4,2
91,671489.4199999999,983331.2999999999,1063448.3900000001,1,2
91,1066540.59,1017843.91,1054514.9,2,2
91,1056100.3699999999,1106645.68,1066824.72,3,2
91,1097386.65,1017633.84,325524.62,4,2
92,1324284.7600000002,1993655.0100000002,2229837.29,1,2
92,1978583.4499999997,1965506.0799999998,2152241.31,2,2
92,1957657.2100000002,2143397.4000000004,2200432.0,3,2
92,2470373.57,2425112.2600000002,731072.69,4,2
