Store,Dept,Month,Quarter,Monthly_2010,Monthly_2011,Monthly_2012
2,5,11,4,197412.53,215528.28000000003,174129.10319999995
2,6,11,4,46162.99,35459.85,30197.26044000001
2,7,11,4,265224.85,282673.82,239256.3135200001
2,8,11,4,245243.96999999997,227503.33,190011.93983999966
2,9,11,4,164087.66,152213.33000000002,125662.56859999993
2,10,11,4,148056.2,151797.97,120533.49364
2,11,11,4,113323.34,91826.38,85914.93487999986
2,12,11,4,29572.95,26816.780000000002,23395.87667999999
2,13,11,4,196349.38,177140.36,152078.4534000002
2,14,11,4,124649.38,130742.17,107320.00063999982
2,16,11,4,32027.67,28478.72,22913.49732000001
2,17,11,4,60344.380000000005,64118.28999999999,53164.13767999994
2,18,11,4,103044.38,110294.33,91632.92980000001
2,19,11,4,21359.109999999997,15657.91,14537.978280000007
2,20,11,4,21647.27,22831.579999999998,17939.391159999996
2,21,11,4,47405.630000000005,41706.97,37120.851960000015
2,22,11,4,69282.76999999999,65484.880000000005,55551.93295999994
2,23,11,4,139076.18,124479.18000000001,106591.79919999998
2,24,11,4,48829.2,39527.36,37851.1044
2,25,11,4,68404.58,59022.3,53320.305599999985
2,26,11,4,57091.45,49920.85,41591.77351999994
2,27,11,4,11138.18,9938.59,9071.719200000005
2,28,11,4,5450.28,3794.4500000000007,3858.17952
2,29,11,4,33310.840000000004,29624.75,23007.417520000006
2,30,11,4,18103.04,14697.380000000001,12672.547159999996
2,31,11,4,16009.760000000002,14144.14,11766.575119999996
2,32,11,4,41739.64,43278.0,36382.27163999996
2,33,11,4,44056.98,37294.25,32706.49588000002
2,34,11,4,81648.28,65876.57,59484.24395999998
2,35,11,4,17258.1,14782.23,13026.795759999995
2,36,11,4,10489.99,7093.95,7339.66044
2,37,11,4,17411.04,18409.51,14854.175360000005
2,38,11,4,321026.53,320768.62,262216.95360000024
2,40,11,4,322519.95,296974.72,243570.49172000008
2,41,11,4,11819.869999999999,7589.219999999999,8302.739360000003
2,42,11,4,34414.7,32788.979999999996,26343.380560000005
2,44,11,4,32295.15,36182.340000000004,30021.488720000016
2,45,11,4,122.82,35.910000000000004,45.54775999999996
2,46,11,4,114770.02000000002,115269.5,101232.79764
2,48,11,4,6211.860000000001,9900.0,9796.742199999999
2,49,11,4,53699.87,47385.43000000001,40224.354159999944
2,52,11,4,20146.010000000002,22273.219999999998,17995.959800000004
2,54,11,4,267.44,261.28000000000003,95.13911999999979
2,55,11,4,90864.51000000001,91348.69,76250.51016
2,56,11,4,8204.23,6116.3,6411.071479999997
2,58,11,4,80984.0,119028.0,100751.61451999997
2,59,11,4,15205.25,3630.5299999999997,6628.25116
2,60,11,4,0.0,876.2,1126.53868
2,67,11,4,41610.21,38968.950000000004,33990.769999999975
2,71,11,4,19135.840000000004,18533.81,15033.386760000025
2,72,11,4,491350.11,515414.52,427847.66328000027
2,74,11,4,77446.25,71137.68,58485.63067999998
2,79,11,4,130506.76999999999,127886.05999999998,108694.24631999977
2,80,11,4,103691.91,100865.40000000001,84620.15520000012
2,81,11,4,127921.19,121554.89000000001,101313.99619999995
2,82,11,4,104659.75,98017.62999999999,80596.12007999996
2,83,11,4,17558.5,17416.3,13390.531040000005
2,85,11,4,16485.52,11433.52,11324.313759999997
2,87,11,4,98158.73999999999,112209.64,94318.83232000002
2,90,11,4,411246.49,442876.42,389144.8822799996
2,91,11,4,321013.68,319548.43,256715.70983999976
2,92,11,4,783202.99,807643.54,657558.471359999
2,93,11,4,310789.81,321511.08,263404.57716000016
2,94,11,4,257907.56000000003,266162.5,227553.46924
2,95,11,4,544586.8,539725.55,575418.3711200004
2,96,11,4,138374.31,131874.13,111052.23955999987
2,97,11,4,165125.87,159793.57,135103.2393999999
2,98,11,4,69733.55,61511.33,54630.420000000035
2,99,11,4,0.0,2850.0,4599.431640000001
3,1,11,4,30290.06,36624.51,33590.53392
3,2,11,4,61735.490000000005,64689.04,53442.30575999994
3,3,11,4,15605.36,17905.4,15501.452799999995
3,4,11,4,34218.799999999996,36680.36,33611.239480000004
3,5,11,4,69125.78,87663.51,72959.22539999997
3,6,11,4,19428.78,14290.310000000001,12389.631960000002
3,7,11,4,56949.43000000001,64045.51000000001,52641.90164000001
3,8,11,4,31388.25,32093.76,23984.580600000016
3,9,11,4,39813.57000000001,43831.32,36481.057199999974
3,10,11,4,38999.259999999995,45740.07,37596.05424
3,11,11,4,29085.510000000002,36817.149999999994,33685.75956000004
3,12,11,4,9506.77,8161.49,7403.519759999993
3,13,11,4,45917.03999999999,41875.83,37241.27576
3,14,11,4,26658.2,29895.19,24497.811879999997
3,16,11,4,9532.39,11838.57,10369.74768
3,17,11,4,11044.650000000001,12519.400000000001,11543.09252
3,18,11,4,31412.2,28413.6,23359.168720000005
3,19,11,4,3188.4700000000003,2231.02,2330.971439999998
3,20,11,4,6287.62,8743.73,8117.058280000005
3,21,11,4,5083.95,6386.74,5812.895399999998
3,22,11,4,15507.34,19397.969999999998,16926.18719999997
3,23,11,4,47452.03,53096.81,46979.749880000076
3,24,11,4,11761.789999999999,14125.810000000001,12164.21536000001
3,25,11,4,14762.32,18359.050000000003,16803.41516000001
3,26,11,4,19694.65,15999.349999999999,15813.691159999991
3,27,11,4,2832.7,2405.71,2258.1284799999994
3,28,11,4,1082.0,882.7700000000001,752.0553600000005
3,29,11,4,8488.41,7434.89,7094.142880000004
3,30,11,4,3456.38,4268.25,5016.706919999995
3,31,11,4,2243.21,3054.0299999999997,3515.2007199999985
3,32,11,4,13368.399999999998,18860.14,16953.39820000001
3,33,11,4,14244.260000000002,16699.05,15229.587679999993
3,34,11,4,19525.25,21727.1,18964.07852000001
3,35,11,4,6016.0,6261.91,5242.6835599999995
3,36,11,4,3857.0,3423.13,3551.7098800000026
3,38,11,4,460409.53,391022.75,320595.1546000004
3,40,11,4,69427.08,75262.57,61772.45032000011
3,41,11,4,4662.39,3003.1400000000003,3289.78568
3,42,11,4,17136.629999999997,21213.8,18771.590400000016
3,44,11,4,7724.59,10354.49,9591.47244
3,46,11,4,24022.74,26710.83,22285.623239999994
3,49,11,4,0.0,26.73,82.14247999999982
3,52,11,4,3899.8900000000003,5726.33,6657.4000000000015
3,54,11,4,112.92,78.76,116.77491999999988
3,55,11,4,46903.7,54669.47,46389.60812000006
3,56,11,4,1262.08,873.3199999999999,1224.0709200000015
3,59,11,4,2586.41,985.5,964.7974400000003
3,60,11,4,616.0,439.99999999999994,757.4125199999996
3,67,11,4,8267.2,8453.109999999999,8076.402840000003
3,71,11,4,4997.38,6839.25,7290.082159999997
3,72,11,4,145933.46000000002,182204.84,165825.17119999992
3,74,11,4,14752.369999999999,17930.42,15292.229600000011
3,79,11,4,27634.81,27238.530000000002,22407.043039999997
3,80,11,4,0.0,91.11,305.56011999999987
3,81,11,4,4752.12,6004.3099999999995,7063.99428
3,82,11,4,27926.440000000002,25421.23,21924.498759999995
3,85,11,4,4207.95,2418.26,5665.166640000005
3,87,11,4,2624.89,4127.780000000001,4906.542320000006
3,90,11,4,5232.62,7295.69,7534.70288
3,91,11,4,791.97,1317.12,2067.1172799999977
3,92,11,4,33748.28,36783.23,32093.494440000035
3,94,11,4,0.0,0.0,194.7928000000001
3,95,11,4,49316.19,53349.82,48374.40300000007
3,96,11,4,18532.92,13761.460000000001,15250.979120000007
3,97,11,4,786.03,1590.9,2824.0136400000024
4,1,11,4,141709.5,181465.5,162549.51612000001
4,2,11,4,360304.84,381005.82000000007,308958.94976000045
4,3,11,4,52146.479999999996,53472.50000000001,45653.34736000004
4,4,11,4,238656.09999999998,257970.68,219503.8486800001
4,5,11,4,279189.72000000003,285307.3,239947.77648
4,6,11,4,52893.21000000001,51662.740000000005,44571.04368000001
4,7,11,4,263681.27,322261.6,271749.8930800004
4,8,11,4,262324.39,255898.97,217233.6884000002
4,9,11,4,141563.46000000002,154380.87,120261.15704000006
4,10,11,4,144787.93,163510.64,123446.4052000001
4,11,11,4,129784.58,122187.73000000001,104013.93552000003
4,12,11,4,31413.0,28463.09,22810.09780000001
4,13,11,4,276552.95,286755.75,242572.2576800001
4,14,11,4,158215.61,167159.86,148249.12840000025
4,16,11,4,19689.77,18965.77,13970.653120000008
4,17,11,4,71175.14000000001,66697.01,54715.58163999998
4,18,11,4,117621.05000000002,129033.87,107559.70351999986
4,19,11,4,17165.85,12864.8,12124.119439999995
4,20,11,4,36716.82,34191.64,32129.91704
4,21,11,4,41641.23,37204.89,33130.27776000004
4,22,11,4,87401.76000000001,89277.44,75006.77927999999
4,23,11,4,220744.39,243232.13,200126.62228000007
4,24,11,4,56931.92999999999,58733.78999999999,50707.82995999997
4,25,11,4,65191.12,72323.33,60767.23831999998
4,26,11,4,97843.94999999998,100869.18,82712.52088000005
4,27,11,4,13707.45,13890.699999999999,11942.768640000002
4,28,11,4,5504.91,5100.54,5030.774079999999
4,29,11,4,42385.69,48122.78,42292.79931999998
4,30,11,4,27007.82,25008.54,20618.245359999997
4,31,11,4,12492.67,15191.23,12126.94832
4,32,11,4,50280.850000000006,55725.020000000004,48473.18608000002
4,33,11,4,59446.1,63223.08,51112.865319999946
4,34,11,4,103910.75,106650.32,91237.35740000005
4,35,11,4,19583.0,16334.440000000002,14611.824039999996
4,36,11,4,15253.0,13247.65,11587.279959999987
4,37,11,4,13157.449999999999,15609.17,12986.729319999997
4,38,11,4,300974.61,317026.49,262111.8094400001
4,40,11,4,315438.25,319006.34,261341.35199999998
4,41,11,4,3876.83,6596.0,7640.354999999997
4,42,11,4,34003.08,45505.579999999994,38467.05048000002
4,44,11,4,23369.86,27703.800000000003,22761.33467999995
4,45,11,4,20.94,23.94,18.009639999999944
4,46,11,4,139911.53,159864.61,125685.29456000001
4,48,11,4,8089.0,13682.0,11194.159319999999
4,49,11,4,24527.699999999997,23466.489999999998,18833.295920000008
4,52,11,4,19179.96,20767.62,17060.59991999999
4,54,11,4,518.36,192.71999999999997,112.99795999999981
4,55,11,4,110382.58,131692.1,108325.67296000005
4,56,11,4,2706.9,5225.16,5998.438399999998
4,58,11,4,37110.6,25405.0,23110.969600000004
4,59,11,4,8054.950000000001,5587.04,6422.591159999997
4,60,11,4,1504.8,1583.9999999999998,1903.9078799999975
4,67,11,4,39059.659999999996,40346.03,34090.79876000003
4,71,11,4,30375.239999999998,35825.29,30684.946040000035
4,72,11,4,653807.6799999999,770166.6599999999,554630.7305200002
4,74,11,4,83386.47,92080.89,80844.03375999993
4,79,11,4,202463.97,209206.32,174098.35748000015
4,80,11,4,76254.01,87370.23,70965.55271999989
4,81,11,4,121622.81,129546.04000000001,108359.89803999988
4,82,11,4,112715.86,136150.69,113272.15491999993
4,83,11,4,33419.47,30992.239999999998,24000.96915999999
4,85,11,4,9606.580000000002,10239.62,10107.453200000002
4,87,11,4,49183.880000000005,57221.060000000005,52110.88559999997
4,90,11,4,357162.53,425457.66,361994.9822399995
4,91,11,4,258810.87,269774.29000000004,232331.29744000005
4,92,11,4,701046.45,795451.6,680504.1414400004
4,93,11,4,296456.81,338266.24,289015.866560001
4,94,11,4,230324.90999999997,261692.25,226218.46567999988
4,95,11,4,518005.12999999995,575010.27,621784.8000800001
4,96,11,4,143931.22,174878.82,155672.69848000005
4,97,11,4,150643.47,154561.80000000002,129357.26523999992
4,98,11,4,74166.19,78123.93,68620.57320000001
4,99,11,4,0.0,3250.0,3965.0165599999946
5,1,11,4,37620.35,42407.7,36775.5628
5,2,11,4,45116.100000000006,48818.71,41709.25303999996
5,3,11,4,13143.09,13732.53,12251.928199999995
5,4,11,4,40858.229999999996,40153.87,36983.14804
5,5,11,4,51454.350000000006,51169.979999999996,44383.550680000015
5,6,11,4,16177.06,9252.91,12216.340719999991
5,7,11,4,32267.730000000003,42975.31,36996.993
5,8,11,4,54504.69,54863.0,46367.70828
5,9,11,4,37976.83,44243.75,35891.88615999995
5,10,11,4,35485.509999999995,35701.86,32332.731000000033
5,11,11,4,33741.39,30264.39,24191.654600000013
5,12,11,4,9665.21,10371.88,9682.780359999992
5,13,11,4,45846.56,44949.95,37633.13859999997
5,14,11,4,24524.79,25340.08,21179.024079999985
5,16,11,4,11804.8,12250.65,11471.410719999994
5,17,11,4,11230.66,12402.09,11327.909279999996
5,18,11,4,16531.920000000002,15150.77,12736.374559999991
5,19,11,4,400.0,187.0,267.86883999999986
5,20,11,4,6067.549999999999,6554.709999999999,5713.995079999996
5,21,11,4,5807.25,6378.41,5368.195319999994
5,22,11,4,17828.54,14651.099999999999,12862.558680000004
5,23,11,4,33251.59,30694.42,23320.693440000014
5,24,11,4,9045.86,9697.92,9554.04663999999
5,25,11,4,11559.669999999998,11243.67,10315.514720000003
5,26,11,4,11134.87,10119.46,9384.97752000001
5,27,11,4,2118.04,2148.25,2085.924159999999
5,28,11,4,1357.0,976.21,932.6519600000006
5,29,11,4,7370.799999999999,5899.5599999999995,5409.132960000013
5,30,11,4,2577.98,2856.54,2495.539759999998
5,31,11,4,2253.12,2470.5600000000004,2266.9380399999986
5,32,11,4,9773.720000000001,10120.789999999999,9638.939759999997
5,33,11,4,9215.199999999999,8120.23,7142.052839999994
5,34,11,4,15981.5,16108.86,13930.049479999996
5,35,11,4,5471.0,4192.63,4386.3813199999995
5,36,11,4,2968.0,1793.54,2682.42956
5,38,11,4,214996.5,227268.77000000002,189802.67788000003
5,40,11,4,79724.01000000001,75707.41,60260.97844000005
5,41,11,4,2438.8199999999997,4196.6,3729.219400000005
5,42,11,4,11696.14,11662.33,10343.99884000001
5,44,11,4,6167.17,6826.27,6536.701400000003
5,46,11,4,15892.130000000001,19196.1,16722.10547999999
5,49,11,4,0.0,95.03999999999999,114.10275999999999
5,52,11,4,3852.25,2819.88,3418.9603599999996
5,54,11,4,97.76,17.64,57.087519999999934
5,55,11,4,26640.659999999996,24596.75,20049.477440000013
5,56,11,4,978.45,1386.74,2051.020759999997
5,58,11,4,1275.0,1565.0,3730.995280000001
5,59,11,4,388.14,75.0,59.606679999999855
5,60,11,4,959.1999999999999,871.1999999999999,965.1348
5,67,11,4,10082.4,11193.57,9360.898999999996
5,71,11,4,3187.86,2872.73,2676.807080000001
5,72,11,4,118025.54000000001,137216.24,112643.17899999995
5,74,11,4,18021.26,17382.34,13670.93228
5,79,11,4,19219.89,20893.66,17299.790919999985
5,81,11,4,9359.66,10113.66,10517.548800000004
5,82,11,4,17073.64,16702.11,13491.720759999995
5,85,11,4,3434.5200000000004,2997.7599999999998,3108.9866400000033
5,87,11,4,35926.87,46691.14,43189.13035999991
5,90,11,4,12317.17,13448.019999999999,11365.934439999994
5,91,11,4,5206.8,5627.1,8149.179120000006
5,92,11,4,36589.53,39470.21,33818.39620000001
5,94,11,4,0.0,63.84,248.81668000000025
5,95,11,4,63967.899999999994,73102.34,67182.42735999999
5,96,11,4,20960.78,25430.590000000004,24350.54159999999
5,97,11,4,2251.06,2623.8100000000004,3275.5781200000033
6,1,11,4,94985.5,101235.59,83064.28516000001
6,2,11,4,184005.81,196302.57,156839.4887200001
6,3,11,4,49755.41,45993.72,38918.92596000002
6,4,11,4,144811.53,147742.86,118559.89207999995
6,5,11,4,216594.34999999998,203778.65,167340.6283200002
6,6,11,4,52672.46000000001,42147.619999999995,38043.500919999984
6,7,11,4,180086.35,200262.77,163194.2226400002
6,8,11,4,192867.53,190902.51,153476.22752000016
6,9,11,4,206575.63,223587.31000000003,188472.71091999987
6,10,11,4,169443.38999999998,173117.15000000002,147050.88080000007
6,11,11,4,98435.36,88500.03,73629.11267999998
6,12,11,4,27041.78,23696.51,19868.40231999999
6,13,11,4,149081.14,145235.0,114879.66752
6,14,11,4,146275.00999999998,141043.62,113504.97179999997
6,16,11,4,23713.92,31025.39,25584.492160000023
6,17,11,4,71179.65,72013.07,60266.94899999994
6,18,11,4,94359.84,116512.82,98924.36312000005
6,19,11,4,10317.470000000001,13760.800000000001,11179.178320000005
6,20,11,4,35801.21,37030.17,32681.404960000044
6,21,11,4,43121.44,35089.85,30592.155760000005
6,22,11,4,103084.9,95006.42000000001,76206.27700000003
6,23,11,4,146017.49,128901.56,110353.14939999979
6,24,11,4,39491.99,36333.479999999996,30684.664480000014
6,25,11,4,52909.07,48102.43000000001,41406.93395999994
6,26,11,4,50800.630000000005,45648.14,39372.38364000002
6,27,11,4,11507.92,10361.34,9450.947000000007
6,28,11,4,3449.6000000000004,3220.5800000000004,3263.97748
6,29,11,4,32444.570000000003,29195.32,24084.12127999999
6,30,11,4,19959.460000000003,16110.86,15494.75468
6,31,11,4,13141.5,13885.0,11710.20984
6,32,11,4,45902.8,42376.45,36530.91116
6,33,11,4,37456.99,32049.579999999998,26787.901839999984
6,34,11,4,77909.16,71297.47,56619.85284000002
6,35,11,4,15143.0,13798.63,12073.847639999996
6,36,11,4,9852.0,7672.0,7940.877640000007
6,37,11,4,14836.52,15051.06,12132.758280000007
6,38,11,4,271394.64,294389.33,239301.77728000007
6,40,11,4,256568.52000000002,260776.98,217912.40100000022
6,41,11,4,18598.25,12236.689999999999,11170.235680000003
6,42,11,4,36169.73,36778.840000000004,31157.93016000004
6,44,11,4,30638.67,35240.17999999999,29585.770760000018
6,46,11,4,98102.18000000001,92801.11999999998,75876.50376000004
6,48,11,4,7075.0,12629.98,10205.582359999999
6,49,11,4,44805.20999999999,38030.69,33613.673520000026
6,52,11,4,17817.52,25211.120000000003,17079.88120000001
6,54,11,4,556.52,302.64,168.62564000000023
6,55,11,4,110903.45000000001,100034.20999999999,82542.91735999996
6,56,11,4,12434.25,10011.48,9459.009360000011
6,58,11,4,19876.0,11340.0,10539.052240000005
6,59,11,4,11032.919999999998,2900.44,7742.22548
6,60,11,4,7.0,1240.8000000000002,1506.3169199999998
6,67,11,4,39697.759999999995,43145.56,36664.8058
6,71,11,4,27848.44,28471.78,22778.373520000023
6,72,11,4,551118.72,551035.6599999999,447046.99775999953
6,74,11,4,99026.66,96733.57,76109.24508000001
6,77,11,4,0.0,1272.0,1554.80152
6,79,11,4,92508.12,92913.91,78079.36387999996
6,80,11,4,48658.43,52886.82000000001,45082.27672000002
6,81,11,4,60390.979999999996,60123.88,50700.01912000003
6,82,11,4,81133.63,80291.87999999999,69789.98156000007
6,83,11,4,13335.36,13001.330000000002,11517.751759999994
6,85,11,4,11075.44,8205.45,7866.491839999991
6,87,11,4,149627.63,175574.83,153739.88768000007
6,90,11,4,231836.91999999998,248624.47000000003,204356.90604000023
6,91,11,4,190733.42,180574.56,162396.76903999996
6,92,11,4,483452.87999999995,498841.70000000007,462231.688400001
6,93,11,4,192329.52,193106.7,163495.97171999986
6,94,11,4,149248.51,159769.57,131804.13876
6,95,11,4,320368.97,328905.79000000004,268880.18756000005
6,96,11,4,119520.83,118546.28,99226.09580000001
6,97,11,4,81896.0,80798.39,70965.07236000003
6,98,11,4,42391.15,47415.82,42610.76067999997
6,99,11,4,0.0,1550.0,2005.9019999999985
7,1,11,4,35955.97,40166.58,36412.343800000024
7,2,11,4,79830.83,86890.24,79375.5694
7,3,11,4,28062.48,30749.770000000004,24045.50712000003
7,4,11,4,55677.37,60363.509999999995,50030.777519999996
7,5,11,4,86963.63,97753.56,79071.49488000001
7,6,11,4,40538.19,30952.530000000002,23849.11831999999
7,7,11,4,45671.28,51920.0,45431.13011999997
7,8,11,4,54937.97,54782.29000000001,45999.14723999999
7,9,11,4,66354.23999999999,78933.6,71924.80227999995
7,10,11,4,101043.07,105516.95999999999,88463.09543999992
7,11,11,4,81281.06,81639.95999999999,76327.61640000007
7,12,11,4,20669.309999999998,21101.260000000002,18550.752800000002
7,13,11,4,58033.78,58971.32000000001,48855.763360000004
7,14,11,4,51394.53,62946.12,50777.98404
7,16,11,4,26164.29,25740.64,21034.913079999973
7,17,11,4,28261.78,33016.740000000005,27158.77323999999
7,18,11,4,37194.91,41114.240000000005,32695.018480000035
7,20,11,4,14440.1,17657.88,15452.077919999998
7,21,11,4,5445.95,6840.719999999999,5859.947480000002
7,22,11,4,36408.02,46867.93,40744.88067999996
7,23,11,4,63564.909999999996,69408.28,59217.30852000005
7,24,11,4,10478.630000000001,16815.42,14279.905239999995
7,25,11,4,26366.73,25211.0,20606.77423999998
7,26,11,4,9554.82,9491.199999999999,8873.203719999998
7,27,11,4,2338.4,2995.46,3100.7027599999997
7,28,11,4,417.03000000000003,1243.47,2281.7607199999998
7,29,11,4,6794.79,6439.039999999999,5663.228240000002
7,30,11,4,3169.14,3131.3399999999997,3232.936359999998
7,31,11,4,10861.0,8712.4,9298.118559999995
7,32,11,4,15803.1,21329.010000000002,18285.954560000002
7,33,11,4,8775.25,13660.559999999998,10980.777760000004
7,34,11,4,15183.25,14337.369999999999,11780.293480000006
7,35,11,4,1510.0,1319.2200000000003,1351.2304799999986
7,36,11,4,8617.0,10662.720000000001,9255.02056000001
7,38,11,4,99673.17,108912.34000000001,89303.79696000004
7,40,11,4,104259.51000000001,109481.71,93207.28615999996
7,41,11,4,2075.79,4968.66,6102.39152
7,42,11,4,23459.29,24551.78,20636.96023999999
7,44,11,4,15091.550000000001,17705.87,14882.599600000003
7,45,11,4,37.42,47.76,58.437120000000064
7,46,11,4,44848.5,49051.04,40881.780479999965
7,48,11,4,0.0,3103.0,3755.880719999999
7,49,11,4,0.0,86.13,98.50024000000005
7,52,11,4,5853.03,6160.990000000001,7248.918959999999
7,54,11,4,240.51999999999998,78.6,97.45840000000007
7,55,11,4,49617.78,64415.119999999995,52561.67392
7,56,11,4,2215.92,2662.6400000000003,2812.7943200000004
7,58,11,4,4913.0,3300.0,3494.786559999998
7,59,11,4,295.65999999999997,154.34,76.1875599999998
7,60,11,4,193.60000000000002,325.6,456.1212
7,67,11,4,11567.52,12001.32,9899.072240000003
7,71,11,4,11174.5,11426.66,10444.337520000003
7,72,11,4,305416.94999999995,373724.51,323108.1930000001
7,74,11,4,43610.439999999995,51129.990000000005,44657.64308
7,79,11,4,20830.350000000002,22642.64,17462.023880000015
7,80,11,4,1196.9,1968.8,2297.0187599999986
7,81,11,4,21071.63,25867.82,22208.287999999997
7,82,11,4,33905.520000000004,36497.259999999995,31743.864960000043
7,83,11,4,1648.58,2376.12,3595.112200000005
7,85,11,4,6935.03,7927.81,7649.2881199999965
7,87,11,4,39108.51000000001,52543.17,51526.769599999956
7,90,11,4,50350.82,61732.549999999996,52977.2298
7,91,11,4,40873.07,43125.310000000005,38137.68516
7,92,11,4,105672.27,120533.03,99859.91611999992
7,93,11,4,3704.5200000000004,6214.6900000000005,7168.100159999999
7,94,11,4,9.12,3.88,1051.023999999999
7,95,11,4,100996.21,122696.23,99567.34555999997
7,96,11,4,2815.96,3010.15,4255.415600000002
7,97,11,4,13341.99,18700.95,18535.947600000032
7,98,11,4,753.9100000000001,966.22,1643.9538800000005
8,1,11,4,61172.93000000001,72277.1,60726.53987999998
8,2,11,4,142915.75,139871.33,112383.26504000006
8,3,11,4,30647.67,26952.879999999997,23044.078759999997
8,4,11,4,92632.84000000001,94255.82999999999,78768.2222
8,5,11,4,130448.04000000001,132287.02,106325.44168000002
8,6,11,4,25487.399999999998,19608.18,14279.999520000012
8,7,11,4,104944.98,122383.23000000001,98431.83848
8,8,11,4,106564.11,106618.83,89677.19219999998
8,9,11,4,44206.41,43916.99,36908.239319999986
8,10,11,4,83397.9,77735.36,65776.04523999988
8,11,11,4,91912.27,80919.14,68495.78660000002
8,12,11,4,25877.91,27958.68,23170.159480000006
8,13,11,4,103727.79000000001,99771.39,85650.69776
8,14,11,4,67741.68,70882.93,60014.34959999997
8,16,11,4,12133.419999999998,15043.86,11649.277680000001
