Store,Dept,Year,Quarter,Month,Weekly_Sales,Date
1,2,2010,4,10,221780.16000000003,2010-010-01
1,2,2010,4,11,176701.15,2010-011-01
1,2,2010,4,12,236373.27000000002,2010-012-01
1,2,2011,1,1,166307.69,2011-01-01
1,2,2011,1,2,189791.78,2011-02-01
1,2,2011,1,3,191017.1,2011-03-01
1,2,2011,2,4,230185.08,2011-04-01
1,2,2011,2,5,183788.28999999998,2011-05-01
1,2,2011,2,6,179563.63999999998,2011-06-01
1,2,2011,3,7,221436.50999999998,2011-07-01
1,2,2011,3,8,188752.72,2011-08-01
1,2,2011,3,9,225135.59,2011-09-01
1,2,2011,4,10,177357.13999999998,2011-010-01
1,2,2011,4,11,180507.46,2011-011-01
1,2,2011,4,12,255578.28999999998,2011-012-01
1,2,2012,1,1,173144.13,2012-01-01
1,2,2012,1,2,198068.88999999998,2012-02-01
1,2,2012,1,3,239844.23,2012-03-01
1,2,2012,2,4,186815.14,2012-04-01
1,2,2012,2,5,187447.36000000002,2012-05-01
1,2,2012,2,6,237206.49,2012-06-01
1,2,2012,3,7,184300.31,2012-07-01
1,2,2012,3,8,238472.96,2012-08-01
1,2,2012,3,9,181163.94,2012-09-01
1,2,2012,4,10,176179.35,2012-010-01
1,3,2010,1,2,47286.6,2010-02-01
1,3,2010,1,3,41767.25,2010-03-01
1,3,2010,2,4,48769.54000000001,2010-04-01
1,3,2010,2,5,33519.26,2010-05-01
1,3,2010,2,6,30536.440000000002,2010-06-01
1,3,2010,3,7,67568.42,2010-07-01
1,3,2010,3,8,149620.65999999997,2010-08-01
1,3,2010,3,9,50036.869999999995,2010-09-01
1,3,2010,4,10,47490.2,2010-010-01
1,3,2010,4,11,38880.909999999996,2010-011-01
1,3,2010,4,12,54409.97,2010-012-01
1,3,2011,1,1,53600.3,2011-01-01
1,3,2011,1,2,44639.53,2011-02-01
1,3,2011,1,3,38926.8,2011-03-01
1,3,2011,2,4,44486.83,2011-04-01
1,3,2011,2,5,35213.09,2011-05-01
1,3,2011,2,6,30187.079999999998,2011-06-01
1,3,2011,3,7,64416.259999999995,2011-07-01
1,3,2011,3,8,154776.54,2011-08-01
1,3,2011,3,9,62986.02,2011-09-01
1,3,2011,4,10,39406.16,2011-010-01
1,3,2011,4,11,38570.76,2011-011-01
1,3,2011,4,12,58798.46,2011-012-01
1,3,2012,1,1,50063.78,2012-01-01
1,3,2012,1,2,45614.810000000005,2012-02-01
1,3,2012,1,3,49198.2,2012-03-01
1,3,2012,2,4,34545.950000000004,2012-04-01
1,3,2012,2,5,37953.22,2012-05-01
1,3,2012,2,6,38685.67,2012-06-01
1,3,2012,3,7,64443.509999999995,2012-07-01
1,3,2012,3,8,184909.03999999998,2012-08-01
1,3,2012,3,9,59146.31,2012-09-01
1,3,2012,4,10,40063.920000000006,2012-010-01
1,4,2010,1,2,146792.36,2010-02-01
1,4,2010,1,3,138745.04,2010-03-01
1,4,2010,2,4,175968.62,2010-04-01
1,4,2010,2,5,142777.87,2010-05-01
1,4,2010,2,6,146642.36,2010-06-01
1,4,2010,3,7,187834.21,2010-07-01
1,4,2010,3,8,153546.24000000002,2010-08-01
1,4,2010,3,9,141422.1,2010-09-01
1,4,2010,4,10,173483.24,2010-010-01
1,4,2010,4,11,156268.46,2010-011-01
1,4,2010,4,12,197436.3,2010-012-01
1,4,2011,1,1,138983.21,2011-01-01
1,4,2011,1,2,143400.25,2011-02-01
1,4,2011,1,3,142849.23,2011-03-01
1,4,2011,2,4,174094.47999999998,2011-04-01
1,4,2011,2,5,142227.63,2011-05-01
1,4,2011,2,6,148469.27,2011-06-01
1,4,2011,3,7,179718.02,2011-07-01
1,4,2011,3,8,153433.09999999998,2011-08-01
1,4,2011,3,9,171289.03,2011-09-01
1,4,2011,4,10,140599.74,2011-010-01
1,4,2011,4,11,160402.08,2011-011-01
1,4,2011,4,12,200642.56,2011-012-01
1,4,2012,1,1,144902.22999999998,2012-01-01
1,4,2012,1,2,151084.27,2012-02-01
1,4,2012,1,3,189825.1,2012-03-01
1,4,2012,2,4,152754.04,2012-04-01
1,4,2012,2,5,150544.24,2012-05-01
1,4,2012,2,6,198869.63999999998,2012-06-01
1,4,2012,3,7,156288.51,2012-07-01
1,4,2012,3,8,194232.75999999998,2012-08-01
1,4,2012,3,9,143748.0,2012-09-01
1,4,2012,4,10,146599.9,2012-010-01
1,5,2010,1,2,112420.35,2010-02-01
1,5,2010,1,3,106185.52,2010-03-01
1,5,2010,2,4,106825.03,2010-04-01
1,5,2010,2,5,68093.87,2010-05-01
1,5,2010,2,6,83582.64,2010-06-01
1,5,2010,3,7,90841.40999999999,2010-07-01
1,5,2010,3,8,61453.55,2010-08-01
1,5,2010,3,9,66069.07,2010-09-01
1,5,2010,4,10,99581.31,2010-010-01
1,5,2010,4,11,142478.05,2010-011-01
1,5,2010,4,12,263535.58,2010-012-01
1,5,2011,1,1,80701.83,2011-01-01
1,5,2011,1,2,122911.2,2011-02-01
1,5,2011,1,3,94011.65,2011-03-01
1,5,2011,2,4,108000.9,2011-04-01
1,5,2011,2,5,63972.55,2011-05-01
1,5,2011,2,6,75054.29000000001,2011-06-01
1,5,2011,3,7,92412.32,2011-07-01
1,5,2011,3,8,76626.12,2011-08-01
1,5,2011,3,9,95842.65999999999,2011-09-01
1,5,2011,4,10,112362.07999999999,2011-010-01
1,5,2011,4,11,169638.24,2011-011-01
1,5,2011,4,12,214299.68,2011-012-01
1,5,2012,1,1,83062.26,2012-01-01
1,5,2012,1,2,143421.31,2012-02-01
1,5,2012,1,3,133314.68,2012-03-01
1,5,2012,2,4,80660.54,2012-04-01
1,5,2012,2,5,72812.09999999999,2012-05-01
1,5,2012,2,6,107934.01000000001,2012-06-01
1,5,2012,3,7,69775.95,2012-07-01
1,5,2012,3,8,92350.37999999999,2012-08-01
1,5,2012,3,9,85964.84,2012-09-01
1,5,2012,4,10,92689.61,2012-010-01
1,6,2010,1,2,26188.850000000002,2010-02-01
1,6,2010,1,3,22214.629999999997,2010-03-01
1,6,2010,2,4,22263.53,2010-04-01
1,6,2010,2,5,24021.21,2010-05-01
1,6,2010,2,6,17708.3,2010-06-01
1,6,2010,3,7,23991.850000000002,2010-07-01
1,6,2010,3,8,16042.029999999999,2010-08-01
1,6,2010,3,9,17080.71,2010-09-01
1,6,2010,4,10,21784.13,2010-010-01
1,6,2010,4,11,32956.67,2010-011-01
1,6,2010,4,12,59250.9,2010-012-01
1,6,2011,1,1,9096.53,2011-01-01
1,6,2011,1,2,16105.060000000001,2011-02-01
1,6,2011,1,3,15209.18,2011-03-01
1,6,2011,2,4,17680.739999999998,2011-04-01
1,6,2011,2,5,21589.16,2011-05-01
1,6,2011,2,6,13126.359999999999,2011-06-01
1,6,2011,3,7,17119.77,2011-07-01
1,6,2011,3,8,13002.6,2011-08-01
1,6,2011,3,9,21623.239999999998,2011-09-01
1,6,2011,4,10,20321.71,2011-010-01
1,6,2011,4,11,31021.46,2011-011-01
1,6,2011,4,12,47538.15,2011-012-01
1,6,2012,1,1,10203.03,2012-01-01
1,6,2012,1,2,19327.420000000002,2012-02-01
1,6,2012,1,3,21950.64,2012-03-01
1,6,2012,2,4,15572.829999999998,2012-04-01
1,6,2012,2,5,19395.08,2012-05-01
1,6,2012,2,6,21870.600000000002,2012-06-01
1,6,2012,3,7,11647.18,2012-07-01
1,6,2012,3,8,11611.8,2012-08-01
1,6,2012,3,9,12978.14,2012-09-01
1,6,2012,4,10,15161.07,2012-010-01
1,7,2010,1,2,76603.81,2010-02-01
1,7,2010,1,3,80154.63999999998,2010-03-01
1,7,2010,2,4,103532.39999999998,2010-04-01
1,7,2010,2,5,104867.42,2010-05-01
1,7,2010,2,6,127370.57,2010-06-01
1,7,2010,3,7,105761.44999999998,2010-07-01
1,7,2010,3,8,75152.08,2010-08-01
1,7,2010,3,9,74454.54,2010-09-01
1,7,2010,4,10,82123.65,2010-010-01
1,7,2010,4,11,137105.06,2010-011-01
1,7,2010,4,12,401632.62,2010-012-01
1,7,2011,1,1,54904.950000000004,2011-01-01
1,7,2011,1,2,86769.83,2011-02-01
1,7,2011,1,3,82621.73,2011-03-01
1,7,2011,2,4,109258.43999999999,2011-04-01
1,7,2011,2,5,86262.65,2011-05-01
1,7,2011,2,6,132250.59000000003,2011-06-01
1,7,2011,3,7,91307.53,2011-07-01
1,7,2011,3,8,57006.53999999999,2011-08-01
1,7,2011,3,9,71629.2,2011-09-01
1,7,2011,4,10,78150.39,2011-010-01
1,7,2011,4,11,143229.81,2011-011-01
1,7,2011,4,12,307898.95999999996,2011-012-01
1,7,2012,1,1,42990.130000000005,2012-01-01
1,7,2012,1,2,70982.24999999999,2012-02-01
1,7,2012,1,3,88976.75,2012-03-01
1,7,2012,2,4,86235.16,2012-04-01
1,7,2012,2,5,93845.72,2012-05-01
1,7,2012,2,6,136725.21,2012-06-01
1,7,2012,3,7,79491.57999999999,2012-07-01
1,7,2012,3,8,80687.72,2012-08-01
1,7,2012,3,9,77352.92,2012-09-01
1,7,2012,4,10,85671.4,2012-010-01
1,8,2010,1,2,151499.64,2010-02-01
1,8,2010,1,3,140888.97,2010-03-01
1,8,2010,2,4,172302.44000000003,2010-04-01
1,8,2010,2,5,138014.30000000002,2010-05-01
1,8,2010,2,6,136336.72,2010-06-01
1,8,2010,3,7,171391.29,2010-07-01
1,8,2010,3,8,130681.56999999998,2010-08-01
1,8,2010,3,9,133444.86000000002,2010-09-01
1,8,2010,4,10,171950.11,2010-010-01
1,8,2010,4,11,141569.01,2010-011-01
1,8,2010,4,12,182988.12000000002,2010-012-01
1,8,2011,1,1,140485.91,2011-01-01
1,8,2011,1,2,145496.51,2011-02-01
1,8,2011,1,3,136645.52000000002,2011-03-01
1,8,2011,2,4,167644.82999999996,2011-04-01
1,8,2011,2,5,143690.94,2011-05-01
1,8,2011,2,6,141219.33000000002,2011-06-01
1,8,2011,3,7,168969.92,2011-07-01
1,8,2011,3,8,131921.83000000002,2011-08-01
1,8,2011,3,9,171560.1,2011-09-01
1,8,2011,4,10,137952.77,2011-010-01
1,8,2011,4,11,137376.4,2011-011-01
1,8,2011,4,12,184744.9,2011-012-01
1,8,2012,1,1,140831.26,2012-01-01
1,8,2012,1,2,152836.81,2012-02-01
1,8,2012,1,3,184506.43999999997,2012-03-01
1,8,2012,2,4,154675.55000000002,2012-04-01
1,8,2012,2,5,156175.88,2012-05-01
1,8,2012,2,6,194781.05000000002,2012-06-01
1,8,2012,3,7,152433.88999999998,2012-07-01
1,8,2012,3,8,185185.14,2012-08-01
1,8,2012,3,9,149672.51,2012-09-01
1,8,2012,4,10,157836.32,2012-010-01
1,9,2010,1,2,64549.850000000006,2010-02-01
1,9,2010,1,3,110936.23999999999,2010-03-01
1,9,2010,2,4,129031.03,2010-04-01
1,9,2010,2,5,110583.5,2010-05-01
1,9,2010,2,6,112555.51,2010-06-01
1,9,2010,3,7,105463.1,2010-07-01
1,9,2010,3,8,78832.27,2010-08-01
1,9,2010,3,9,135850.30000000002,2010-09-01
1,9,2010,4,10,174736.35,2010-010-01
1,9,2010,4,11,158027.59000000003,2010-011-01
1,9,2010,4,12,147496.16,2010-012-01
1,9,2011,1,1,53916.75,2011-01-01
1,9,2011,1,2,81323.31,2011-02-01
1,9,2011,1,3,125813.08,2011-03-01
1,9,2011,2,4,136649.28,2011-04-01
1,9,2011,2,5,97504.62000000001,2011-05-01
1,9,2011,2,6,105599.98,2011-06-01
1,9,2011,3,7,101016.52,2011-07-01
1,9,2011,3,8,79518.49,2011-08-01
1,9,2011,3,9,176472.59,2011-09-01
1,9,2011,4,10,140108.27000000002,2011-010-01
1,9,2011,4,11,159507.21000000002,2011-011-01
1,9,2011,4,12,155353.35,2011-012-01
1,9,2012,1,1,64182.65,2012-01-01
1,9,2012,1,2,90238.43,2012-02-01
1,9,2012,1,3,180660.65,2012-03-01
1,9,2012,2,4,132844.09,2012-04-01
1,9,2012,2,5,115094.72,2012-05-01
1,9,2012,2,6,148888.44,2012-06-01
1,9,2012,3,7,99831.88,2012-07-01
1,9,2012,3,8,135583.35,2012-08-01
1,9,2012,3,9,149406.5,2012-09-01
1,9,2012,4,10,155297.41,2012-010-01
1,10,2010,1,2,119772.36000000002,2010-02-01
1,10,2010,1,3,126646.03999999998,2010-03-01
1,10,2010,2,4,156172.66999999998,2010-04-01
1,10,2010,2,5,116563.4,2010-05-01
1,10,2010,2,6,126222.17000000001,2010-06-01
1,10,2010,3,7,153951.74,2010-07-01
1,10,2010,3,8,132891.27,2010-08-01
1,10,2010,3,9,124023.28,2010-09-01
1,10,2010,4,10,143615.57,2010-010-01
1,10,2010,4,11,114989.47,2010-011-01
1,10,2010,4,12,140827.01,2010-012-01
1,10,2011,1,1,97634.21,2011-01-01
1,10,2011,1,2,136514.05,2011-02-01
1,10,2011,1,3,144424.47999999998,2011-03-01
1,10,2011,2,4,158102.66,2011-04-01
1,10,2011,2,5,116573.31,2011-05-01
1,10,2011,2,6,128983.09,2011-06-01
1,10,2011,3,7,149579.86,2011-07-01
1,10,2011,3,8,123471.81,2011-08-01
1,10,2011,3,9,152508.15,2011-09-01
1,10,2011,4,10,119149.41,2011-010-01
1,10,2011,4,11,122826.34,2011-011-01
1,10,2011,4,12,151151.71,2011-012-01
1,10,2012,1,1,102905.07,2012-01-01
1,10,2012,1,2,149205.6,2012-02-01
1,10,2012,1,3,184344.40999999997,2012-03-01
1,10,2012,2,4,126647.35,2012-04-01
1,10,2012,2,5,132614.9,2012-05-01
1,10,2012,2,6,172014.43,2012-06-01
1,10,2012,3,7,130401.63,2012-07-01
1,10,2012,3,8,152727.1,2012-08-01
1,10,2012,3,9,118965.87,2012-09-01
1,10,2012,4,10,111353.83,2012-010-01
1,11,2010,1,2,81986.75,2010-02-01
1,11,2010,1,3,74277.77,2010-03-01
1,11,2010,2,4,101292.87,2010-04-01
1,11,2010,2,5,107889.73999999999,2010-05-01
1,11,2010,2,6,137338.01,2010-06-01
1,11,2010,3,7,137172.33000000002,2010-07-01
1,11,2010,3,8,120611.12999999999,2010-08-01
1,11,2010,3,9,66180.51999999999,2010-09-01
1,11,2010,4,10,87397.64,2010-010-01
1,11,2010,4,11,101053.04,2010-011-01
1,11,2010,4,12,140883.0,2010-012-01
1,11,2011,1,1,97383.09,2011-01-01
1,11,2011,1,2,80546.54999999999,2011-02-01
1,11,2011,1,3,87908.75,2011-03-01
1,11,2011,2,4,123439.26000000001,2011-04-01
1,11,2011,2,5,95653.8,2011-05-01
1,11,2011,2,6,150939.56,2011-06-01
1,11,2011,3,7,168673.47,2011-07-01
1,11,2011,3,8,95146.18,2011-08-01
1,11,2011,3,9,95156.99,2011-09-01
1,11,2011,4,10,83240.87,2011-010-01
1,11,2011,4,11,100740.09,2011-011-01
1,11,2011,4,12,155320.39,2011-012-01
1,11,2012,1,1,88727.70999999999,2012-01-01
1,11,2012,1,2,96382.72,2012-02-01
1,11,2012,1,3,120879.29999999999,2012-03-01
1,11,2012,2,4,93344.22,2012-04-01
1,11,2012,2,5,110784.26999999999,2012-05-01
1,11,2012,2,6,167031.86,2012-06-01
1,11,2012,3,7,121658.53,2012-07-01
1,11,2012,3,8,113753.7,2012-08-01
1,11,2012,3,9,75770.67000000001,2012-09-01
1,11,2012,4,10,84890.92000000001,2012-010-01
1,12,2010,1,2,35284.96,2010-02-01
1,12,2010,1,3,47408.28999999999,2010-03-01
1,12,2010,2,4,55538.75,2010-04-01
1,12,2010,2,5,46413.89,2010-05-01
1,12,2010,2,6,46440.02,2010-06-01
1,12,2010,3,7,55625.99,2010-07-01
1,12,2010,3,8,46145.19,2010-08-01
1,12,2010,3,9,41643.49,2010-09-01
1,12,2010,4,10,53408.06,2010-010-01
1,12,2010,4,11,38264.27,2010-011-01
1,12,2010,4,12,36616.94,2010-012-01
1,12,2011,1,1,29053.89,2011-01-01
1,12,2011,1,2,38185.770000000004,2011-02-01
1,12,2011,1,3,52163.53999999999,2011-03-01
1,12,2011,2,4,60560.09,2011-04-01
1,12,2011,2,5,50369.74,2011-05-01
1,12,2011,2,6,46755.78,2011-06-01
1,12,2011,3,7,56941.92,2011-07-01
1,12,2011,3,8,40415.56,2011-08-01
1,12,2011,3,9,48603.91,2011-09-01
1,12,2011,4,10,45262.350000000006,2011-010-01
1,12,2011,4,11,37869.909999999996,2011-011-01
1,12,2011,4,12,39397.09,2011-012-01
1,12,2012,1,1,33271.880000000005,2012-01-01
1,12,2012,1,2,39746.82000000001,2012-02-01
1,12,2012,1,3,59678.35999999999,2012-03-01
1,12,2012,2,4,44789.850000000006,2012-04-01
1,12,2012,2,5,46705.85,2012-05-01
1,12,2012,2,6,54885.689999999995,2012-06-01
1,12,2012,3,7,46880.02,2012-07-01
1,12,2012,3,8,54665.87,2012-08-01
1,12,2012,3,9,43512.44,2012-09-01
1,12,2012,4,10,38509.8,2012-010-01
1,13,2010,1,2,153770.69,2010-02-01
1,13,2010,1,3,148495.96,2010-03-01
1,13,2010,2,4,185181.53000000003,2010-04-01
1,13,2010,2,5,153530.68,2010-05-01
1,13,2010,2,6,158908.44,2010-06-01
1,13,2010,3,7,200992.69999999998,2010-07-01
1,13,2010,3,8,162592.63,2010-08-01
1,13,2010,3,9,160098.73,2010-09-01
1,13,2010,4,10,193837.61,2010-010-01
1,13,2010,4,11,154721.26,2010-011-01
1,13,2010,4,12,177338.90999999997,2010-012-01
1,13,2011,1,1,145716.79,2011-01-01
1,13,2011,1,2,150391.74,2011-02-01
1,13,2011,1,3,153531.28,2011-03-01
1,13,2011,2,4,180746.84,2011-04-01
1,13,2011,2,5,147979.84,2011-05-01
1,13,2011,2,6,154301.38999999998,2011-06-01
1,13,2011,3,7,185473.8,2011-07-01
1,13,2011,3,8,157397.63,2011-08-01
1,13,2011,3,9,194716.03,2011-09-01
1,13,2011,4,10,154071.93999999997,2011-010-01
1,13,2011,4,11,154866.81000000003,2011-011-01
1,13,2011,4,12,176517.66000000003,2011-012-01
1,13,2012,1,1,151157.57,2012-01-01
1,13,2012,1,2,165222.9,2012-02-01
1,13,2012,1,3,199388.39,2012-03-01
1,13,2012,2,4,161947.6,2012-04-01
1,13,2012,2,5,158855.99000000002,2012-05-01
1,13,2012,2,6,201836.5,2012-06-01
1,13,2012,3,7,159422.77,2012-07-01
1,13,2012,3,8,208780.47999999998,2012-08-01
1,13,2012,3,9,162672.94,2012-09-01
1,13,2012,4,10,158615.88,2012-010-01
1,14,2010,1,2,71205.55,2010-02-01
1,14,2010,1,3,59171.78,2010-03-01
1,14,2010,2,4,64438.65,2010-04-01
1,14,2010,2,5,52837.32,2010-05-01
1,14,2010,2,6,53681.579999999994,2010-06-01
1,14,2010,3,7,66444.74,2010-07-01
1,14,2010,3,8,54630.799999999996,2010-08-01
1,14,2010,3,9,52510.600000000006,2010-09-01
1,14,2010,4,10,62119.57000000001,2010-010-01
1,14,2010,4,11,85975.15,2010-011-01
1,14,2010,4,12,135734.84,2010-012-01
1,14,2011,1,1,55930.35,2011-01-01
1,14,2011,1,2,62414.950000000004,2011-02-01
1,14,2011,1,3,60065.78,2011-03-01
1,14,2011,2,4,65649.16,2011-04-01
1,14,2011,2,5,57118.990000000005,2011-05-01
1,14,2011,2,6,51316.08,2011-06-01
1,14,2011,3,7,58041.979999999996,2011-07-01
1,14,2011,3,8,52071.28,2011-08-01
1,14,2011,3,9,65011.520000000004,2011-09-01
1,14,2011,4,10,51715.24,2011-010-01
1,14,2011,4,11,86115.64,2011-011-01
1,14,2011,4,12,142752.16999999998,2011-012-01
1,14,2012,1,1,54277.22,2012-01-01
1,14,2012,1,2,73774.59,2012-02-01
1,14,2012,1,3,76159.8,2012-03-01
1,14,2012,2,4,59066.34,2012-04-01
1,14,2012,2,5,62244.56,2012-05-01
1,14,2012,2,6,71997.3,2012-06-01
1,14,2012,3,7,58141.61,2012-07-01
1,14,2012,3,8,62231.63999999999,2012-08-01
1,14,2012,3,9,49538.64,2012-09-01
1,14,2012,4,10,49017.36,2012-010-01
1,16,2010,1,2,48828.0,2010-02-01
1,16,2010,1,3,109318.36,2010-03-01
1,16,2010,2,4,259043.38,2010-04-01
1,16,2010,2,5,181580.88999999998,2010-05-01
1,16,2010,2,6,148017.86,2010-06-01
1,16,2010,3,7,144640.47000000003,2010-07-01
1,16,2010,3,8,90026.71999999999,2010-08-01
1,16,2010,3,9,78061.74,2010-09-01
1,16,2010,4,10,55154.69,2010-010-01
1,16,2010,4,11,27935.899999999998,2010-011-01
1,16,2010,4,12,28749.55,2010-012-01
1,16,2011,1,1,22010.96,2011-01-01
1,16,2011,1,2,55664.22,2011-02-01
1,16,2011,1,3,146790.84,2011-03-01
1,16,2011,2,4,229970.68,2011-04-01
1,16,2011,2,5,153692.41,2011-05-01
1,16,2011,2,6,152664.37,2011-06-01
1,16,2011,3,7,131426.28,2011-07-01
1,16,2011,3,8,66811.38,2011-08-01
1,16,2011,3,9,69351.78,2011-09-01
1,16,2011,4,10,42323.130000000005,2011-010-01
1,16,2011,4,11,25518.480000000003,2011-011-01
1,16,2011,4,12,26640.14,2011-012-01
1,16,2012,1,1,24662.559999999998,2012-01-01
1,16,2012,1,2,55785.490000000005,2012-02-01
1,16,2012,1,3,208504.78,2012-03-01
1,16,2012,2,4,199603.60000000003,2012-04-01
1,16,2012,2,5,163283.58000000002,2012-05-01
1,16,2012,2,6,187232.74,2012-06-01
1,16,2012,3,7,113414.86,2012-07-01
1,16,2012,3,8,102322.33999999998,2012-08-01
1,16,2012,3,9,63270.46,2012-09-01
1,16,2012,4,10,41299.13,2012-010-01
1,17,2010,1,2,50780.09,2010-02-01
1,17,2010,1,3,45448.63,2010-03-01
1,17,2010,2,4,42328.64,2010-04-01
1,17,2010,2,5,38135.03999999999,2010-05-01
1,17,2010,2,6,36398.69,2010-06-01
1,17,2010,3,7,43358.74,2010-07-01
1,17,2010,3,8,40300.92,2010-08-01
1,17,2010,3,9,38009.04000000001,2010-09-01
1,17,2010,4,10,43762.16,2010-010-01
1,17,2010,4,11,41278.51,2010-011-01
1,17,2010,4,12,66721.53,2010-012-01
1,17,2011,1,1,32468.98,2011-01-01
1,17,2011,1,2,45372.670000000006,2011-02-01
1,17,2011,1,3,41870.840000000004,2011-03-01
1,17,2011,2,4,43162.93,2011-04-01
1,17,2011,2,5,34928.38,2011-05-01
1,17,2011,2,6,32478.62,2011-06-01
1,17,2011,3,7,38401.42999999999,2011-07-01
1,17,2011,3,8,34106.350000000006,2011-08-01
1,17,2011,3,9,37406.26,2011-09-01
1,17,2011,4,10,31346.04,2011-010-01
1,17,2011,4,11,36965.259999999995,2011-011-01
1,17,2011,4,12,60699.58,2011-012-01
1,17,2012,1,1,32746.859999999997,2012-01-01
1,17,2012,1,2,39584.0,2012-02-01
1,17,2012,1,3,47154.63,2012-03-01
1,17,2012,2,4,32026.84,2012-04-01
1,17,2012,2,5,33661.08,2012-05-01
1,17,2012,2,6,38172.54,2012-06-01
1,17,2012,3,7,31071.170000000002,2012-07-01
1,17,2012,3,8,42643.59,2012-08-01
1,17,2012,3,9,30087.510000000002,2012-09-01
1,17,2012,4,10,32230.230000000003,2012-010-01
1,18,2010,1,2,41904.74,2010-02-01
1,18,2010,1,3,8250.21,2010-03-01
1,18,2010,2,4,27234.270000000004,2010-04-01
1,18,2010,2,5,0.5,2010-05-01
1,18,2010,2,6,4.25,2010-06-01
1,18,2010,3,8,24.0,2010-08-01
1,18,2010,3,9,5092.47,2010-09-01
1,18,2010,4,10,46221.65,2010-010-01
1,18,2010,4,11,69964.93,2010-011-01
1,18,2010,4,12,179419.13999999998,2010-012-01
1,18,2011,1,1,9599.79,2011-01-01
1,18,2011,1,2,41540.42,2011-02-01
1,18,2011,1,3,1003.86,2011-03-01
1,18,2011,2,4,29344.11,2011-04-01
1,18,2011,2,5,911.87,2011-05-01
1,18,2011,2,6,3.0,2011-06-01
1,18,2011,3,7,0.8,2011-07-01
1,18,2011,3,8,4.97,2011-08-01
1,18,2011,3,9,6921.59,2011-09-01
1,18,2011,4,10,34568.56,2011-010-01
1,18,2011,4,11,69007.12,2011-011-01
1,18,2011,4,12,166825.28999999998,2011-012-01
1,18,2012,1,1,12030.289999999999,2012-01-01
1,18,2012,1,2,45212.21,2012-02-01
1,18,2012,1,3,10020.49,2012-03-01
1,18,2012,2,4,19486.22,2012-04-01
1,18,2012,2,5,5.28,2012-05-01
1,18,2012,2,6,5.17,2012-06-01
1,18,2012,3,7,2.91,2012-07-01
1,18,2012,3,8,19.91,2012-08-01
1,18,2012,3,9,8882.76,2012-09-01
1,18,2012,4,10,43966.619999999995,2012-010-01
1,19,2010,1,2,6815.33,2010-02-01
1,19,2010,1,3,7334.3099999999995,2010-03-01
1,19,2010,2,4,7840.4,2010-04-01
1,19,2010,2,5,5522.3099999999995,2010-05-01
1,19,2010,2,6,5339.09,2010-06-01
1,19,2010,3,7,7006.16,2010-07-01
1,19,2010,3,8,6790.58,2010-08-01
1,19,2010,3,9,6811.33,2010-09-01
1,19,2010,4,10,9855.349999999999,2010-010-01
1,19,2010,4,11,5965.160000000001,2010-011-01
1,19,2010,4,12,7495.43,2010-012-01
1,19,2011,1,1,3440.9399999999996,2011-01-01
1,19,2011,1,2,6071.14,2011-02-01
1,19,2011,1,3,5799.119999999999,2011-03-01
1,19,2011,2,4,6476.4,2011-04-01
1,19,2011,2,5,4811.13,2011-05-01
1,19,2011,2,6,2902.25,2011-06-01
1,19,2011,3,7,4431.860000000001,2011-07-01
1,19,2011,3,8,3322.91,2011-08-01
1,19,2011,3,9,4938.16,2011-09-01
1,19,2011,4,10,4243.290000000001,2011-010-01
1,19,2011,4,11,3378.17,2011-011-01
1,19,2011,4,12,7327.44,2011-012-01
1,19,2012,1,1,2800.4900000000002,2012-01-01
