Dept,Month,Monthly_2010,Monthly_2011,Monthly_2012,Quarter,Store
8,3,140888.97,136645.52000000002,184506.43999999997,1,1
8,4,172302.44000000003,167644.82999999996,154675.55000000002,2,1
8,5,138014.30000000002,143690.94,156175.88,2,1
8,6,136336.72,141219.33000000002,194781.05000000002,2,1
8,7,171391.29,168969.92,152433.88999999998,3,1
8,8,130681.56999999998,131921.83000000002,185185.14,3,1
8,9,133444.86000000002,171560.1,149672.51,3,1
8,10,171950.11,137952.77,157836.32,4,1
9,1,0.0,53916.75,64182.65,1,1
9,2,64549.850000000006,81323.31,90238.43,1,1
9,3,110936.23999999999,125813.08,180660.65,1,1
9,4,129031.03,136649.28,132844.09,2,1
9,5,110583.5,97504.62000000001,115094.72,2,1
9,6,112555.51,105599.98,148888.44,2,1
9,7,105463.1,101016.52,99831.88,3,1
9,8,78832.27,79518.49,135583.35,3,1
9,9,135850.30000000002,176472.59,149406.5,3,1
9,10,174736.35,140108.27000000002,155297.41,4,1
10,1,0.0,97634.21,102905.07,1,1
10,2,119772.36000000002,136514.05,149205.6,1,1
10,3,126646.03999999998,144424.47999999998,184344.40999999997,1,1
10,4,156172.66999999998,158102.66,126647.35,2,1
10,5,116563.4,116573.31,132614.9,2,1
10,6,126222.17000000001,128983.09,172014.43,2,1
10,7,153951.74,149579.86,130401.63,3,1
10,8,132891.27,123471.81,152727.1,3,1
10,9,124023.28,152508.15,118965.87,3,1
10,10,143615.57,119149.41,111353.83,4,1
11,1,0.0,97383.09,88727.70999999999,1,1
11,2,81986.75,80546.54999999999,96382.72,1,1
11,3,74277.77,87908.75,120879.29999999999,1,1
11,4,101292.87,123439.26000000001,93344.22,2,1
11,5,107889.73999999999,95653.8,110784.26999999999,2,1
11,6,137338.01,150939.56,167031.86,2,1
11,7,137172.33000000002,168673.47,121658.53,3,1
11,8,120611.12999999999,95146.18,113753.7,3,1
11,9,66180.51999999999,95156.99,75770.67000000001,3,1
11,10,87397.64,83240.87,84890.92000000001,4,1
12,1,0.0,29053.89,33271.880000000005,1,1
12,2,35284.96,38185.770000000004,39746.82000000001,1,1
12,3,47408.28999999999,52163.53999999999,59678.35999999999,1,1
12,4,55538.75,60560.09,44789.850000000006,2,1
12,5,46413.89,50369.74,46705.85,2,1
12,6,46440.02,46755.78,54885.689999999995,2,1
12,7,55625.99,56941.92,46880.02,3,1
12,8,46145.19,40415.56,54665.87,3,1
12,9,41643.49,48603.91,43512.44,3,1
12,10,53408.06,45262.350000000006,38509.8,4,1
13,1,0.0,145716.79,151157.57,1,1
13,2,153770.69,150391.74,165222.9,1,1
13,3,148495.96,153531.28,199388.39,1,1
13,4,185181.53000000003,180746.84,161947.6,2,1
13,5,153530.68,147979.84,158855.99000000002,2,1
13,6,158908.44,154301.38999999998,201836.5,2,1
13,7,200992.69999999998,185473.8,159422.77,3,1
13,8,162592.63,157397.63,208780.47999999998,3,1
13,9,160098.73,194716.03,162672.94,3,1
13,10,193837.61,154071.93999999997,158615.88,4,1
14,1,0.0,55930.35,54277.22,1,1
14,2,71205.55,62414.950000000004,73774.59,1,1
14,3,59171.78,60065.78,76159.8,1,1
14,4,64438.65,65649.16,59066.34,2,1
14,5,52837.32,57118.990000000005,62244.56,2,1
14,6,53681.579999999994,51316.08,71997.3,2,1
14,7,66444.74,58041.979999999996,58141.61,3,1
14,8,54630.799999999996,52071.28,62231.63999999999,3,1
14,9,52510.600000000006,65011.520000000004,49538.64,3,1
14,10,62119.57000000001,51715.24,49017.36,4,1
16,1,0.0,22010.96,24662.559999999998,1,1
16,2,48828.0,55664.22,55785.490000000005,1,1
16,3,109318.36,146790.84,208504.78,1,1
16,4,259043.38,229970.68,199603.60000000003,2,1
16,5,181580.88999999998,153692.41,163283.58000000002,2,1
16,6,148017.86,152664.37,187232.74,2,1
16,7,144640.47000000003,131426.28,113414.86,3,1
16,8,90026.71999999999,66811.38,102322.33999999998,3,1
16,9,78061.74,69351.78,63270.46,3,1
16,10,55154.69,42323.130000000005,41299.13,4,1
17,1,0.0,32468.98,32746.859999999997,1,1
17,2,50780.09,45372.670000000006,39584.0,1,1
17,3,45448.63,41870.840000000004,47154.63,1,1
17,4,42328.64,43162.93,32026.84,2,1
17,5,38135.03999999999,34928.38,33661.08,2,1
17,6,36398.69,32478.62,38172.54,2,1
17,7,43358.74,38401.42999999999,31071.170000000002,3,1
17,8,40300.92,34106.350000000006,42643.59,3,1
17,9,38009.04000000001,37406.26,30087.510000000002,3,1
17,10,43762.16,31346.04,32230.230000000003,4,1
18,1,0.0,9599.79,12030.289999999999,1,1
18,2,41904.74,41540.42,45212.21,1,1
18,3,8250.21,1003.86,10020.49,1,1
18,4,27234.270000000004,29344.11,19486.22,2,1
18,5,0.5,911.87,5.28,2,1
18,6,4.25,3.0,5.17,2,1
18,7,0.0,0.8,2.91,3,1
18,8,24.0,4.97,19.91,3,1
18,9,5092.47,6921.59,8882.76,3,1
18,10,46221.65,34568.56,43966.619999999995,4,1
19,1,0.0,3440.9399999999996,2800.4900000000002,1,1
19,2,6815.33,6071.14,3901.34,1,1
19,3,7334.3099999999995,5799.119999999999,5579.66,1,1
19,4,7840.4,6476.4,3315.96,2,1
19,5,5522.3099999999995,4811.13,5482.28,2,1
19,6,5339.09,2902.25,5815.610000000001,2,1
19,7,7006.16,4431.860000000001,4170.969999999999,3,1
19,8,6790.58,3322.91,5197.66,3,1
19,9,6811.33,4938.16,4360.79,3,1
19,10,9855.349999999999,4243.290000000001,5496.63,4,1
20,1,0.0,11837.61,15034.669999999998,1,1
20,2,17459.629999999997,14918.08,20283.38,1,1
20,3,19345.84,16362.890000000001,26932.93,1,1
20,4,16729.15,15987.490000000002,16409.05,2,1
20,5,17916.36,16620.18,18976.04,2,1
20,6,22983.1,18499.02,23311.4,2,1
20,7,24931.5,22257.85,17864.79,3,1
20,8,16803.879999999997,17756.65,21278.14,3,1
20,9,13161.82,18884.42,14623.720000000001,3,1
20,10,17353.28,12470.199999999999,13631.82,4,1
21,1,0.0,27773.35,28151.45,1,1
21,2,35185.549999999996,31143.9,33743.100000000006,1,1
21,3,31011.860000000004,29787.34,41229.42,1,1
21,4,38284.86,36762.66,31376.9,2,1
21,5,32201.739999999998,27990.75,28991.47,2,1
21,6,32729.839999999997,28514.440000000002,36182.93,2,1
21,7,40181.29,35985.549999999996,26911.87,3,1
21,8,29228.81,31426.190000000002,33326.03,3,1
21,9,31082.59,41066.01,31094.75,3,1
21,10,37583.85,33254.6,30620.15,4,1
22,1,0.0,29634.239999999998,29198.709999999995,1,1
22,2,50017.869999999995,45821.62,40981.23,1,1
22,3,35394.450000000004,37375.490000000005,45438.270000000004,1,1
22,4,32873.22,33432.5,26603.93,2,1
22,5,24810.620000000003,24964.73,27878.870000000003,2,1
22,6,25858.260000000002,25869.55,32155.55,2,1
22,7,32820.71,31908.619999999995,26202.010000000002,3,1
22,8,30686.28,30052.559999999998,34286.51,3,1
22,9,31865.55,36858.36,25689.229999999996,3,1
22,10,36320.229999999996,30262.69,33260.57,4,1
23,1,0.0,68991.8,60028.45,1,1
23,2,86139.12,90353.81,89788.56,1,1
23,3,75658.26999999999,84689.44,105446.35,1,1
23,4,97807.82999999999,99882.37,83093.12,2,1
23,5,86265.8,80482.88,82723.32,2,1
23,6,107886.91,91110.24,121369.92,2,1
23,7,105149.7,92153.89,77798.63,3,1
23,8,97536.16,90486.10999999999,114954.29999999999,3,1
23,9,66392.92,79464.33,62013.31,3,1
23,10,95119.67000000001,76521.66,79155.44,4,1
24,1,0.0,18128.21,14281.39,1,1
24,2,29320.66,30653.979999999996,24873.43,1,1
24,3,21420.95,20720.52,27253.41,1,1
24,4,28902.899999999998,25610.7,20439.75,2,1
24,5,21040.65,15081.88,19471.940000000002,2,1
24,6,20250.2,14226.449999999999,19193.309999999998,2,1
24,7,26365.03,17967.28,20348.0,3,1
24,8,54878.79,44552.95,59809.38999999999,3,1
24,9,15844.349999999999,18494.69,19463.54,3,1
24,10,28070.36,22089.14,27517.53,4,1
25,1,0.0,26620.39,25366.4,1,1
25,2,45368.17,37472.19,40133.59,1,1
25,3,47141.25,46932.09,64124.37,1,1
25,4,62962.4,52093.14,48148.130000000005,2,1
25,5,45728.63,39288.72,44467.94,2,1
25,6,45800.5,42777.2,51800.02,2,1
25,7,45241.219999999994,43167.8,37372.009999999995,3,1
25,8,38925.25,38359.479999999996,49324.22,3,1
25,9,33112.71,40590.57,30493.019999999997,3,1
25,10,48414.090000000004,37495.47,41393.88,4,1
26,1,0.0,19303.03,17749.66,1,1
26,2,40876.78,30717.21,31047.420000000002,1,1
26,3,30443.8,27338.579999999998,38506.399999999994,1,1
26,4,42759.91,31095.32,27435.34,2,1
26,5,28814.78,22993.69,23599.96,2,1
26,6,25012.260000000002,23033.739999999998,27558.27,2,1
26,7,28800.879999999997,24406.3,19857.48,3,1
26,8,24312.57,21035.32,27159.18,3,1
26,9,22800.76,22900.6,22599.13,3,1
26,10,38641.8,32019.809999999998,35974.62,4,1
27,1,0.0,5801.54,5830.83,1,1
27,2,8793.75,6870.880000000001,8605.09,1,1
27,3,5022.5,5267.7699999999995,7109.360000000001,1,1
27,4,5156.54,5376.860000000001,4402.73,2,1
27,5,3928.95,3750.67,3617.13,2,1
27,6,3603.9900000000002,3240.8100000000004,4927.08,2,1
27,7,4287.01,3447.79,4191.34,3,1
27,8,5921.42,4871.84,6967.77,3,1
27,9,3219.2699999999995,4194.18,3914.01,3,1
27,10,6235.9,5733.27,6582.42,4,1
28,1,0.0,3029.24,2374.2200000000003,1,1
28,2,4091.8100000000004,3020.25,2897.06,1,1
28,3,3373.0099999999998,2541.28,2764.2400000000002,1,1
28,4,4048.0400000000004,3023.49,1971.85,2,1
28,5,2335.25,1968.61,1712.29,2,1
28,6,1941.93,1588.1,1973.3000000000002,2,1
28,7,2241.6800000000003,1884.5900000000001,1316.0499999999997,3,1
28,8,1985.63,1345.98,1514.7199999999998,3,1
28,9,2049.6600000000003,2208.69,1671.3600000000001,3,1
28,10,4013.62,2265.38,2637.0,4,1
29,1,0.0,17444.039999999997,15383.810000000001,1,1
29,2,27660.760000000002,24569.530000000002,25861.92,1,1
29,3,18075.809999999998,18292.18,22849.489999999998,1,1
29,4,20405.420000000002,20584.65,14702.01,2,1
29,5,18794.71,17557.49,16496.64,2,1
29,6,16692.14,15145.83,18534.08,2,1
29,7,23597.21,17992.300000000003,14706.36,3,1
29,8,21051.17,15797.79,20666.550000000003,3,1
29,9,16329.83,16402.45,13885.89,3,1
29,10,20569.64,15692.96,15569.82,4,1
30,1,0.0,10838.5,9643.3,1,1
30,2,20168.98,16719.65,14017.08,1,1
30,3,14528.5,18339.640000000003,18989.449999999997,1,1
30,4,21077.28,20496.32,13230.94,2,1
30,5,17424.190000000002,14140.74,13434.539999999999,2,1
30,6,15791.02,14421.800000000001,16501.16,2,1
30,7,18979.620000000003,18709.440000000002,11557.960000000001,3,1
30,8,17859.52,13089.27,16604.260000000002,3,1
30,9,13460.5,13288.869999999999,8819.130000000001,3,1
30,10,15836.28,11228.460000000001,10169.15,4,1
31,1,0.0,10405.779999999999,7222.2,1,1
31,2,12002.630000000001,10930.369999999999,7547.290000000001,1,1
31,3,8899.0,8850.14,9588.08,1,1
31,4,7461.43,9006.83,5003.13,2,1
31,5,7054.39,6849.18,5056.99,2,1
31,6,6619.64,4948.24,6579.69,2,1
31,7,10616.83,12647.650000000001,10097.85,3,1
31,8,27930.780000000002,27379.21,27091.410000000003,3,1
31,9,9190.400000000001,7548.26,5416.62,3,1
31,10,9631.9,5814.07,6282.860000000001,4,1
32,1,0.0,21817.81,21836.1,1,1
32,2,54998.450000000004,49423.13,54735.03,1,1
32,3,29720.03,28996.21,36530.54,1,1
32,4,38284.58,32837.56,26523.649999999998,2,1
32,5,39638.01,37878.38,37997.83,2,1
32,6,29806.789999999997,27636.239999999998,31632.700000000004,2,1
32,7,31699.89,32142.32,23921.620000000003,3,1
32,8,23431.93,20007.440000000002,31542.04,3,1
32,9,26725.51,36987.79,21143.28,3,1
32,10,32302.17,24989.34,23250.89,4,1
33,1,0.0,15381.89,11751.189999999999,1,1
33,2,29499.320000000003,26327.39,23017.44,1,1
33,3,23400.77,20126.32,26324.370000000003,1,1
33,4,28564.77,23476.119999999995,19931.33,2,1
33,5,22857.44,16769.52,19655.199999999997,2,1
33,6,21454.15,15429.250000000002,22669.120000000003,2,1
33,7,25455.49,20352.09,23374.63,3,1
33,8,47755.340000000004,38535.6,52938.41,3,1
33,9,15487.8,19155.58,18546.339999999997,3,1
33,10,25499.07,20260.87,25877.179999999997,4,1
34,1,0.0,32382.66,33352.61,1,1
34,2,52215.16,49872.27,51391.06,1,1
34,3,47312.33,48037.03,69590.84,1,1
34,4,60962.95,50597.79,61417.159999999996,2,1
34,5,57048.17,44467.65,62032.43000000001,2,1
34,6,56706.17,45065.82,68657.45,2,1
34,7,50264.53,53389.04000000001,46765.89,3,1
34,8,40355.67,46355.93,52885.64,3,1
34,9,35292.83,41025.07000000001,36968.06,3,1
34,10,44511.4,38261.91,41145.55,4,1
35,1,0.0,7660.32,7295.289999999999,1,1
35,2,9395.9,11433.49,10891.81,1,1
35,3,10478.0,11602.52,13692.22,1,1
35,4,14922.0,14940.44,11948.519999999999,2,1
35,5,13457.0,13332.79,10824.15,2,1
35,6,11404.5,9484.91,13836.77,2,1
35,7,12462.54,11824.170000000002,8568.82,3,1
35,8,9302.0,9349.59,9518.3,3,1
35,9,8241.0,10445.84,6240.789999999999,3,1
35,10,11772.0,8943.210000000001,6902.43,4,1
36,1,0.0,3440.0,2835.88,1,1
36,2,1653.0,2509.0,7308.280000000001,1,1
36,3,3179.0,3565.0,6818.0,1,1
36,4,4378.12,5220.0,5964.0,2,1
36,5,10712.5,7431.0,10200.24,2,1
36,6,14629.5,16025.0,15005.0,2,1
36,7,9956.5,8429.0,7978.03,3,1
36,8,3985.0,2072.34,3502.88,3,1
36,9,1404.0,2778.94,1472.69,3,1
36,10,1394.0,3955.76,4317.85,4,1
37,1,0.0,9136.13,9757.34,1,1
37,2,12567.14,14159.46,13027.01,1,1
37,3,12057.01,12799.23,13870.050000000001,1,1
37,4,14214.510000000002,14181.97,9758.04,2,1
37,5,11147.74,10419.99,10262.26,2,1
37,6,12368.59,10628.77,15389.469999999998,2,1
37,7,14892.96,13130.44,11922.44,3,1
37,8,11633.35,10506.79,13565.119999999999,3,1
37,9,11516.980000000001,14451.51,11131.07,3,1
37,10,14538.54,10862.47,9999.51,4,1
38,1,0.0,317663.52,310401.82000000007,1,1
38,2,401128.88,298131.43000000005,330802.29000000004,1,1
38,3,373479.3400000001,294769.83999999997,410906.92,1,1
38,4,492876.10000000003,383691.02999999997,313517.43,2,1
38,5,367024.06,343161.31999999995,317923.58,2,1
38,6,367564.29000000004,304526.23,365453.52,2,1
38,7,412171.19,354812.91000000003,285043.32,3,1
38,8,320877.3,297842.04000000004,397206.91000000003,3,1
38,9,333355.61,381544.63,302510.91000000003,3,1
38,10,401665.29000000004,294501.19999999995,292492.73,4,1
40,1,0.0,244797.56999999998,239928.37,1,1
40,2,260506.7,260043.35,262198.61,1,1
40,3,242021.88,252255.13,314324.18,1,1
40,4,296248.67,294413.31,245402.71,2,1
40,5,225311.59999999998,222785.84,237246.91999999998,2,1
40,6,218229.87000000002,216395.38,283935.2,2,1
40,7,270427.08999999997,258738.72999999998,221736.61000000002,3,1
40,8,217642.45,216225.84,287397.19,3,1
40,9,231658.62,283607.17,235825.7,3,1
40,10,284049.74,226322.62,235972.41999999998,4,1
41,1,0.0,2356.0,974.9,1,1
41,2,4028.51,4917.87,2196.87,1,1
41,3,5063.150000000001,3237.0,2869.87,1,1
41,4,5455.76,3530.5,1707.5,2,1
41,5,2727.12,4035.5,2204.81,2,1
41,6,3111.88,2402.0,1580.66,2,1
41,7,4136.0,2811.25,1884.92,3,1
41,8,7073.0,3247.0,3922.6500000000005,3,1
41,9,10803.869999999999,6027.5,5714.6,3,1
41,10,8303.0,7116.97,5226.76,4,1
42,1,0.0,28494.88,31068.0,1,1
42,2,31114.769999999997,33287.51,34469.299999999996,1,1
42,3,35366.47,36050.78,41272.55,1,1
42,4,44044.68,40723.84,33081.369999999995,2,1
42,5,33933.840000000004,31408.480000000003,31343.260000000002,2,1
42,6,32414.05,32127.32,43168.41,2,1
42,7,40094.65,36521.909999999996,33959.100000000006,3,1
42,8,30938.949999999997,29873.61,39859.09,3,1
42,9,31511.25,41512.29,29198.66,3,1
42,10,40136.15,29602.25,28955.49,4,1
44,1,0.0,15510.949999999999,16763.66,1,1
44,2,17404.29,17151.010000000002,21277.21,1,1
44,3,17075.01,15457.99,22794.53,1,1
44,4,20967.33,21475.410000000003,16947.66,2,1
44,5,18321.379999999997,19217.95,22017.57,2,1
44,6,17759.09,14945.539999999999,21294.0,2,1
44,7,19305.149999999998,18609.27,18177.77,3,1
44,8,17454.59,17772.440000000002,25500.589999999997,3,1
44,9,21704.739999999998,26235.17,24278.31,3,1
44,10,27576.45,25367.37,24494.92,4,1
45,1,0.0,68.82,35.910000000000004,1,1
45,2,140.26,34.410000000000004,47.88,1,1
45,9,11.47,81.78999999999999,83.76,3,1
45,10,158.57999999999998,47.88,31.410000000000004,4,1
46,1,0.0,64112.75000000001,67018.28,1,1
46,2,80178.93000000001,81936.42,88027.13999999998,1,1
46,3,73801.34999999999,83176.06,98403.97,1,1
46,4,90076.26,96229.13,79736.65,2,1
46,5,76053.34,81635.66,81700.64,2,1
46,6,82069.32,83521.23000000001,107860.37999999999,2,1
46,7,90356.88,95920.12,75556.98,3,1
46,8,73010.72,72437.76000000001,91886.74,3,1
46,9,69966.36,85623.71,70288.83,3,1
46,10,85649.05,71096.45000000001,69822.66,4,1
47,2,-793.0,0.0,-198.0,1,1
47,3,-698.0,0.0,-199.0,1,1
47,6,0.0,0.0,178.0,2,1
47,7,0.0,-198.0,25.0,3,1
47,8,0.0,198.0,68.0,3,1
47,9,0.0,0.0,224.0,3,1
48,1,0.0,997.0,2755.0,1,1
48,2,1772.0,3815.0,4370.0,1,1
48,3,2220.0,1969.0,6841.0,1,1
48,4,2420.0,1928.0,2751.0,2,1
48,5,698.0,2408.0,4756.0,2,1
48,6,641.0,833.0,3177.0,2,1
48,7,1155.0,0.0,1477.99,3,1
48,8,470.0,2446.0,3361.0,3,1
48,9,1055.0,2909.0,6055.0,3,1
48,10,3145.0,3656.0,8143.0,4,1
49,1,0.0,48777.89,45489.810000000005,1,1
49,2,60621.80999999999,54526.55,55395.61,1,1
49,3,52224.18,53813.79,59589.42,1,1
49,4,53818.41,54850.06,48993.939999999995,2,1
49,5,49896.600000000006,49431.09,38988.50000000001,2,1
49,6,40148.46,41107.46,49849.009999999995,2,1
49,7,58129.409999999996,55009.79,38469.23999999999,3,1
49,8,44335.479999999996,54778.93,59544.03,3,1
49,9,50152.58,60452.63,40648.729999999996,3,1
49,10,49370.31,43179.200000000004,40661.46,4,1
52,1,0.0,7167.5199999999995,6281.880000000001,1,1
52,2,11880.289999999999,11112.46,8733.29,1,1
52,3,11989.18,10311.8,8514.71,1,1
52,4,13941.49,13471.63,7591.17,2,1
52,5,11923.44,10853.93,10457.619999999999,2,1
52,6,9193.029999999999,7122.51,9616.820000000002,2,1
52,7,9627.98,8242.66,7778.31,3,1
52,8,8803.240000000002,7184.04,8545.2,3,1
52,9,12349.12,11630.120000000003,7661.9,3,1
52,10,15529.25,8891.69,8567.21,4,1
54,1,0.0,69.76,48.400000000000006,1,1
54,2,1647.0,123.52000000000001,218.2,1,1
54,3,700.97,287.20000000000005,135.44,1,1
54,4,971.97,166.4,206.6,2,1
54,5,738.0,75.72,254.84000000000003,2,1
54,6,989.0,225.68,123.6,2,1
54,7,1158.0,143.28,154.52,3,1
54,8,469.0,160.8,99.60000000000001,3,1
54,9,280.0,223.38,96.30000000000001,3,1
54,10,349.76000000000005,86.28,196.56,4,1
55,1,0.0,47231.06,41486.149999999994,1,1
55,2,74254.75,65343.19,62421.310000000005,1,1
55,3,56957.9,59485.920000000006,61487.759999999995,1,1
55,4,56680.87,53584.16,39907.18,2,1
55,5,43185.56999999999,39401.91,33576.84,2,1
55,6,49236.090000000004,38983.57,48756.479999999996,2,1
55,7,55410.979999999996,48646.48,37733.52,3,1
55,8,42700.58,33641.66,42408.33,3,1
55,9,40518.479999999996,48875.46,35647.06,3,1
55,10,55389.56,42957.72,43578.45,4,1
56,1,0.0,2865.69,4138.03,1,1
56,2,11261.699999999999,13868.23,15059.44,1,1
56,3,31883.489999999998,43874.33,50881.100000000006,1,1
56,4,68072.63999999998,55883.259999999995,39953.04,2,1
56,5,29920.760000000002,30352.29,32015.3,2,1
56,6,12908.969999999998,10697.77,16751.670000000002,2,1
56,7,9174.039999999999,5579.79,7326.68,3,1
56,8,5810.61,2515.75,5791.62,3,1
56,9,7901.6900000000005,7052.959999999999,7019.210000000001,3,1
56,10,8665.0,7860.370000000001,5949.300000000001,4,1
58,1,0.0,7116.0,9625.0,1,1
58,2,19651.97,8942.0,10905.0,1,1
58,3,16098.0,9332.0,18434.0,1,1
58,4,20664.0,14338.0,8370.0,2,1
58,5,16653.0,11543.97,7890.0,2,1
58,6,20898.0,12885.0,15793.970000000001,2,1
58,7,20627.0,21670.0,14554.0,3,1
58,8,17339.0,15395.0,12270.0,3,1
58,9,13302.0,13948.970000000001,18625.0,3,1
58,10,13765.0,10638.970000000001,20035.0,4,1
59,1,0.0,2456.1099999999997,927.71,1,1
59,2,5513.85,1792.0800000000002,975.13,1,1
59,3,4751.83,1491.25,958.6600000000001,1,1
59,4,5111.650000000001,1726.77,778.88,2,1
59,5,3660.38,1177.6399999999999,742.6399999999999,2,1
59,6,3736.42,732.83,737.7199999999999,2,1
59,7,3541.2400000000002,932.96,661.11,3,1
59,8,2741.22,1007.42,924.53,3,1
59,9,2292.34,993.3100000000001,722.78,3,1
59,10,2808.6,1190.42,724.4399999999999,4,1
60,1,0.0,4162.4,4004.0,1,1
60,2,4400.0,4647.4,4183.2,1,1
60,3,3799.8,3845.6,4633.0,1,1
60,4,4734.400000000001,5016.0,3654.0,2,1
60,5,4539.0,4611.2,4176.0,2,1
60,6,3924.8,3828.0,4741.8,2,1
60,7,5537.400000000001,4294.4,3537.0,3,1
60,8,3880.8,3704.8,4491.0,3,1
60,9,4144.8,4760.8,3573.0,3,1
60,10,4980.799999999999,4320.799999999999,4275.0,4,1
67,1,0.0,19405.100000000002,19287.42,1,1
67,2,48345.44,42958.72,47365.55,1,1
67,3,25963.420000000002,21632.91,27755.05,1,1
67,4,34965.13,31508.24,25078.95,2,1
67,5,52864.29000000001,49477.2,54011.84,2,1
67,6,41546.130000000005,33660.31,42130.979999999996,2,1
67,7,29585.0,22192.14,22262.09,3,1
67,8,23098.510000000002,20590.43,27541.61,3,1
67,9,25021.190000000002,28612.489999999998,24630.95,3,1
67,10,31174.12,23679.64,26464.54,4,1
71,1,0.0,7212.400000000001,9378.04,1,1
71,2,17474.64,16565.76,19670.55,1,1
71,3,10444.73,12227.48,17695.0,1,1
71,4,10316.920000000002,8929.29,8272.11,2,1
71,5,9131.99,8682.08,10932.830000000002,2,1
71,6,10744.16,8392.01,12642.859999999999,2,1
71,7,12855.86,12237.56,11547.17,3,1
71,8,11850.64,13870.66,14352.08,3,1
71,9,9963.68,13466.75,6929.780000000001,3,1
71,10,10976.62,10238.310000000001,7638.87,4,1
72,1,0.0,159425.57,157671.33,1,1
72,2,306103.95999999996,252383.27,299634.62,1,1
72,3,192438.43,183743.12000000002,252011.11,1,1
72,4,212491.87,187455.92,156822.37,2,1
72,5,136761.07,151755.46,151687.2,2,1
72,6,165544.41999999998,138233.53999999998,207857.89,2,1
72,7,173306.94,179237.93,149453.29,3,1
72,8,162691.06,172975.34999999998,200228.99,3,1
72,9,171297.01,203701.03999999998,192670.64,3,1
72,10,170742.37,187552.31999999998,168251.01,4,1
74,1,0.0,45257.48,45269.28,1,1
74,2,51357.990000000005,50192.32,54991.22,1,1
