Store,Dept,Quarter,Q_2010,Q_2011,Q_2012
2,3,4,191739.66999999998,179114.99,46343.205759999946
2,4,4,683270.9900000001,610651.0000000001,176873.94164000012
2,5,4,734476.1300000001,639419.0299999999,122699.45632000003
2,6,4,167888.36000000002,119207.48,26896.550599999973
2,7,4,1106477.78,1015593.6700000002,180498.16056000016
2,8,4,848818.9900000001,750986.85,239717.33235999962
2,9,4,538213.2,475667.91,136488.88644
2,10,4,510011.7899999999,491942.70999999996,143458.6352799998
2,11,4,357070.31000000006,316019.13,84486.31008000008
2,12,4,103008.10999999999,89009.3,29219.101439999962
2,13,4,657652.5,559774.62,169469.4815600001
2,14,4,420216.11000000004,399441.52999999997,81795.98043999996
2,16,4,116707.86,93603.31000000001,29296.33995999995
2,17,4,218536.05,218694.66,52424.27071999989
2,18,4,449318.36000000004,427239.52999999997,84274.33772000013
2,19,4,78091.46999999999,55872.83,16097.987759999995
2,20,4,69576.26,66103.04,17797.768079999965
2,21,4,166064.47,138051.06,33371.216759999945
2,22,4,243348.50999999998,211010.07,55333.35508000015
2,23,4,519034.27999999997,472619.54000000004,106577.95583999959
2,24,4,164017.95,141138.37,32660.413560000048
2,25,4,239506.40999999997,214334.78,58498.99027999994
2,26,4,181751.93000000002,159667.82,42741.60292
2,27,4,42656.33,39303.49999999999,10517.295199999982
2,28,4,18393.59,12814.460000000001,3268.90488000001
2,29,4,130337.01,116460.04999999999,25592.96784000005
2,30,4,65045.740000000005,48731.22999999999,13791.625080000009
2,31,4,66440.12000000001,60210.31999999999,15579.88696000002
2,32,4,217340.02,198833.77,41036.32275999992
2,33,4,148176.69,137737.56000000003,28212.131360000072
2,34,4,259498.03,220851.78000000003,66316.13035999994
2,35,4,53604.6,53366.43000000001,12520.439799999998
2,36,4,30114.989999999998,27495.11,5693.3500399999975
2,37,4,58684.579999999994,55745.03999999999,17621.00635999993
2,38,4,1194711.01,1089465.45,285739.42367999983
2,40,4,1146705.6600000001,981365.58,303763.96067999955
2,41,4,66166.31999999999,51553.04,15773.574839999985
2,42,4,122013.09000000001,103822.70999999999,31408.503840000092
2,44,4,124030.63999999997,128018.49,40148.38280000005
2,45,4,252.5,151.57999999999998,33.180480000000045
2,46,4,474894.38999999996,466647.6099999999,106668.00603999957
2,48,4,25689.78,23844.0,6570.11
2,49,4,187693.07,159692.40000000002,53510.863440000096
2,52,4,67635.64000000001,69906.94,16145.897000000019
2,54,4,1718.3999999999999,745.9799999999999,155.15188
2,55,4,330956.14999999997,283771.53,44592.876680000125
2,56,4,42935.89000000001,38631.77,10324.080439999987
2,58,4,300018.0,366573.5,102246.28255999998
2,59,4,87697.66,36333.03,1549.321759999999
2,60,4,457.4,3586.6,1139.6638800000003
2,67,4,175432.99,151348.06999999998,42300.82807999993
2,71,4,61129.420000000006,65189.62999999999,16165.67908
2,72,4,1410847.0099999998,1333077.88,267323.41300000047
2,74,4,244764.11,217081.49,62411.162360000184
2,79,4,450390.30000000005,410410.81999999995,126427.71303999973
2,80,4,369390.21,333985.83,102080.86796000025
2,81,4,433021.49,382302.11,117047.42780000028
2,82,4,473842.13,464908.7700000001,104342.19324000031
2,83,4,69096.27,60636.490000000005,16732.332240000003
2,85,4,66381.18999999999,51299.08,11578.866799999974
2,87,4,364628.20000000007,357514.43,108157.01451999985
2,90,4,1373321.8599999999,1389559.42,403295.9653600008
2,91,4,1097386.65,1017633.84,320532.60704
2,92,4,2470373.57,2425112.2600000002,692123.6859599985
2,93,4,986699.9400000001,958388.65,308649.44904000085
2,94,4,867972.05,829445.96,285973.3058000008
2,95,4,1935317.64,1772806.73,566452.4663200016
2,96,4,501763.30999999994,419021.92000000004,140666.96508000034
2,97,4,575876.8800000001,524101.87000000005,166985.44516000024
2,98,4,229013.04999999996,202077.81,60781.46764000014
2,99,4,-147.0,12960.0,943.1268000000002
3,1,4,117893.11,127991.09,38535.76023999997
3,2,4,209910.24000000002,223723.27,67947.61760000016
3,3,4,56252.57,59876.99,15919.362080000046
3,4,4,114219.17,114040.6,35689.2276400001
3,5,4,209692.59000000003,241979.73000000004,62394.9221600001
3,6,4,48471.61,39070.63,10322.548399999963
3,7,4,232496.0,218323.79,52919.57168000003
3,8,4,112108.96,106809.98,31314.94580000014
3,9,4,143049.0,150249.34,47821.7066799999
3,10,4,127340.06000000003,145944.59,49543.49092000005
3,11,4,93544.12999999999,113599.87999999999,36332.16855999999
3,12,4,29210.920000000002,27012.600000000002,8926.558399999996
3,13,4,157634.26,135945.88,45973.62708000007
3,14,4,84501.81,77476.4,22683.70368
3,16,4,42780.159999999996,38268.62,13941.72344000003
3,17,4,41876.16,40233.310000000005,11386.648599999975
3,18,4,120164.57,110626.76,19938.9484
3,19,4,13497.489999999998,9656.17,2627.7988000000064
3,20,4,19105.82,22371.32,6825.464200000016
3,21,4,17294.089999999997,19097.529999999995,5355.617959999988
3,22,4,47876.85999999999,50449.649999999994,15711.183280000047
3,23,4,149179.21,183541.94,57276.88399999989
3,24,4,37653.079999999994,51090.25000000001,13926.9186
3,25,4,49492.01000000001,65343.7,18162.395520000046
3,26,4,58070.5,52457.64,13344.702239999999
3,27,4,10398.5,7949.35,2071.713239999997
3,28,4,3598.0,2955.4900000000002,779.9822000000017
3,29,4,29498.379999999997,25451.050000000003,5638.249080000003
3,30,4,10018.48,14613.87,4514.242599999994
3,31,4,10925.970000000001,13207.400000000003,3459.8804400000063
3,32,4,73116.34999999999,87720.70000000001,19659.272360000024
3,33,4,48586.81999999999,53277.05000000001,13604.483359999938
3,34,4,61249.01,71169.96999999999,16705.278879999954
3,35,4,21311.0,20334.68,4282.089999999998
3,36,4,11585.0,10736.069999999998,2154.657519999997
3,38,4,1691824.45,1283725.5,350175.00283999916
3,40,4,245272.92,244049.16999999998,76725.09231999998
3,41,4,19317.26,12676.77,2912.588879999995
3,42,4,60524.32,59061.83,15040.759480000002
3,44,4,29891.14,36982.62,10521.109679999998
3,46,4,106687.1,109714.24000000002,26090.344759999967
3,49,4,0.0,142.56,112.10783999999961
3,52,4,14408.640000000003,16192.95,4950.1411599999965
3,54,4,1095.36,410.48,143.39880000000016
3,55,4,125726.31,137318.34000000003,30573.817400000084
3,56,4,7668.330000000001,7674.639999999999,2393.9126000000006
3,59,4,14054.87,6128.07,664.5821599999999
3,60,4,1936.0000000000002,1795.2000000000005,392.8745199999998
3,67,4,32597.489999999998,31324.530000000002,9302.442600000015
3,71,4,14142.47,16078.970000000001,4032.6885200000024
3,72,4,334390.37,438463.76000000007,113590.88011999978
3,74,4,45454.68000000001,45800.21,14390.71075999997
3,79,4,95842.73999999999,88279.18000000001,27382.761040000078
3,80,4,0.0,259.71,326.7200800000007
3,81,4,16072.449999999997,19590.850000000006,6703.741520000025
3,82,4,110567.32999999999,106348.71,31861.510839999974
3,85,4,13803.94,8954.48,2110.099600000006
3,87,4,8611.86,13565.32,5179.078160000012
3,90,4,17320.71,23615.51,6941.512439999996
3,91,4,2638.77,3556.9199999999996,1178.9107599999998
3,92,4,105921.07999999999,114971.21,38320.51468000005
3,94,4,713.9399999999999,1999.22,537.5168400000014
3,95,4,175871.03,177760.06999999998,63937.347960000225
3,96,4,66706.81,46870.17,15976.505120000029
3,97,4,2911.79,5256.68,1984.0290400000042
4,1,4,667122.9500000001,675102.9299999999,191349.41003999946
4,2,4,1268857.1800000002,1264807.03,334070.0221599992
4,3,4,197224.67999999996,183361.2,50729.68992000004
4,4,4,795737.06,788674.7100000001,219867.0788399992
4,5,4,1002176.91,925634.79,195969.5324000005
4,6,4,194199.89,166029.76,47946.75503999993
4,7,4,1178925.52,1286332.38,216033.38207999995
4,8,4,920279.0700000001,835000.48,242139.9695600004
4,9,4,460194.18,480209.03,136563.95336000004
4,10,4,489932.69,524216.6699999999,145647.44844000056
4,11,4,400759.47000000003,417591.2099999999,101344.18492000025
4,12,4,106555.81999999999,88688.76000000001,29275.922440000006
4,13,4,934748.34,913440.0499999999,282375.9621999988
4,14,4,522764.92999999993,546407.7600000001,112260.09407999992
4,16,4,79358.17000000001,72550.31999999999,21811.588680000008
4,17,4,248341.34999999998,223035.79,52881.11000000004
4,18,4,505766.82999999996,497067.08999999997,106513.12587999988
4,19,4,58476.68,44741.5,11818.680559999984
4,20,4,115659.09999999999,107256.23,30041.46827999993
4,21,4,147299.00000000003,121059.00000000001,31465.772039999996
4,22,4,285746.4,280239.37,68164.71052000015
4,23,4,763645.72,852989.21,204346.69439999934
4,24,4,182257.32,189835.80000000002,47458.965600000105
4,25,4,219473.4,235367.16999999998,59068.98112000002
4,26,4,321545.18,315220.97,89698.00471999988
4,27,4,53011.950000000004,49874.54999999999,12111.656280000012
4,28,4,18415.47,15515.199999999999,3913.5386400000125
4,29,4,151730.16999999998,176488.49000000002,42083.319360000096
4,30,4,98960.45999999999,84559.32,22213.287639999955
4,31,4,50855.79000000001,59033.75000000001,14337.809320000028
4,32,4,235829.31999999998,245094.14999999997,46372.84348000009
4,33,4,204189.77,217370.84000000003,52425.733760000185
4,34,4,333090.5,345308.42000000004,100072.80211999972
4,35,4,63986.5,54291.729999999996,14336.495199999983
4,36,4,43016.0,49413.98,12959.793199999976
4,37,4,48176.76,47148.189999999995,14460.296679999947
4,38,4,1096868.8599999999,1051925.05,301549.40564000135
4,40,4,1105270.31,1031921.2800000001,320393.98288000026
4,41,4,17181.050000000003,21908.03,6834.087640000011
4,42,4,123505.37000000001,130710.54000000001,40527.212879999934
4,44,4,88129.75,98017.70000000001,27114.423560000112
4,45,4,62.32,135.64,45.78731999999986
4,46,4,562378.1999999998,606974.75,143345.89987999992
4,48,4,33042.0,56797.18,17259.72356
4,49,4,87117.63,77823.5,19262.152479999986
4,52,4,62425.23999999999,66937.04000000001,14487.935199999947
4,54,4,2597.32,899.04,120.52675999999994
4,55,4,403093.17999999993,396622.58,98778.91915999998
4,56,4,14159.779999999999,20255.460000000006,5195.146559999991
4,58,4,96046.04000000001,74540.0,20591.084359999968
4,59,4,102711.55,46085.81,3129.9774000000084
4,60,4,6626.4,5815.500000000001,1485.0881200000001
4,67,4,169559.17999999996,170646.28,44098.75356000001
4,71,4,98926.66,109857.98000000001,27305.326120000063
4,72,4,1920655.84,2017885.9399999997,396538.39003999875
4,74,4,278431.0,278273.1,73592.16976000009
4,79,4,704317.6500000001,682113.05,185883.3582799994
4,80,4,265683.15,290187.29,79129.2576400001
4,81,4,405361.25999999995,402993.56000000006,126807.3892399996
4,82,4,474696.68999999994,566686.7000000001,125345.16679999953
4,83,4,114535.95999999999,96059.81000000001,35470.89827999992
4,85,4,36809.68,39993.71,8426.323519999989
4,87,4,162548.29,185681.39,64739.51448000005
4,90,4,1204345.9000000001,1322274.16,358845.4670399995
4,91,4,861625.68,850798.21,266496.97267999925
4,92,4,2212975.92,2393075.8499999996,684945.9059599994
4,93,4,920103.0599999998,980915.2100000002,308244.6928399996
4,94,4,790879.8799999999,824518.1900000001,289905.75104000035
4,95,4,1804737.6600000001,1861868.18,594558.5076800005
4,96,4,517134.47,573898.64,170149.20460000003
4,97,4,529564.21,505947.55,145737.2275999999
4,98,4,247041.99,238986.19,72515.04919999979
4,99,4,6.0,18260.0,1153.6591999999998
5,1,4,145580.88,152908.34,46278.884159999936
5,2,4,163214.15999999997,165868.53000000003,46403.27307999982
5,3,4,48146.84,45642.32000000001,16025.412839999984
5,4,4,137323.35,132605.11,36460.37908000002
5,5,4,142806.3,131087.35,28781.94575999993
5,6,4,34441.01,22813.99,7809.598360000006
5,7,4,129879.62,134962.26,26408.68280000006
5,8,4,193426.94,183974.83000000002,56174.90783999991
5,9,4,114250.29000000001,111327.14,32728.098160000107
5,10,4,123346.36,121135.98000000003,32859.649159999986
5,11,4,105337.35999999999,103136.66,26422.22384000013
5,12,4,33394.420000000006,30870.480000000003,9171.017840000011
5,13,4,154903.15000000002,142524.61000000002,41264.732640000126
5,14,4,74504.83,66825.31,19625.328479999986
5,16,4,42398.59999999999,39016.1,15624.81740000004
5,17,4,38471.270000000004,39905.0,11040.723599999976
5,18,4,79160.43,71242.33,14291.497959999955
5,19,4,970.29,450.0,443.5043599999987
5,20,4,16572.809999999998,15481.379999999997,3770.0696400000143
5,21,4,20141.23,19797.64,4843.360639999997
5,22,4,53727.15,41237.45999999999,11144.853280000001
5,23,4,106095.73999999999,103457.23,24316.882280000045
5,24,4,24707.920000000002,28318.53,6381.115880000001
5,25,4,34589.28,37478.45,10050.151519999994
5,26,4,33680.82,35004.020000000004,8528.616959999992
5,27,4,7999.5,8047.470000000001,2254.8537599999986
5,28,4,4477.83,2927.21,982.0788000000011
5,29,4,25904.829999999998,21290.35,4813.496479999999
5,30,4,8784.380000000001,9645.74,2898.37432000001
5,31,4,9043.34,10205.330000000002,2817.623000000008
5,32,4,42997.82,46127.58,12781.601359999988
5,33,4,25823.930000000004,25268.420000000002,6158.174759999993
5,34,4,47100.62,48781.04,13378.950959999975
5,35,4,18275.25,13063.55,2424.133159999994
5,36,4,8301.5,6214.3499999999985,1306.6211999999985
5,38,4,733244.95,737164.9000000001,231240.7300000008
5,40,4,278945.62,254554.61,80076.1296799999
5,41,4,6952.75,15266.48,5140.0269999999855
5,42,4,39124.61,35598.04,10678.405280000037
5,44,4,20581.449999999997,23451.37,6284.46264000001
5,46,4,79796.82,73645.09000000001,16914.105560000033
5,49,4,0.0,436.59,122.6922400000004
5,52,4,10852.4,9887.78,3239.045600000006
5,54,4,827.2,294.08,30.367680000000078
5,55,4,72872.24,66295.43999999999,13901.310280000018
5,56,4,3967.88,8261.22,3903.8342000000125
5,58,4,7645.0,6985.0,5256.185519999998
5,59,4,2871.55,1708.1100000000001,120.60939999999974
5,60,4,3590.4000000000005,3352.7999999999997,893.8688800000004
5,67,4,43842.380000000005,45026.38000000001,12128.173520000026
5,71,4,8495.86,6692.260000000001,1886.6765199999923
5,72,4,242504.3,271538.6,55399.65139999987
5,74,4,51741.06,51207.27999999999,14099.47703999999
5,79,4,67575.37000000001,64171.94,19028.820640000045
5,81,4,32770.899999999994,32570.060000000005,10613.650839999957
5,82,4,74941.57,68081.87,16802.492839999974
5,85,4,14253.06,13071.05,3346.5395600000006
5,87,4,126202.56,148258.65000000002,47153.52763999988
5,90,4,42090.64,44150.92,13140.702680000035
5,91,4,18046.25,17557.24,5099.218600000008
5,92,4,110083.70999999998,118854.32,37766.31223999991
5,94,4,614.3399999999999,2197.86,603.6030400000029
5,95,4,233073.54,242012.58000000002,79147.51479999984
5,96,4,73567.23000000001,79897.41999999998,28540.278559999955
5,97,4,8593.939999999999,8555.380000000001,2463.5319200000013
6,1,4,418984.0,411484.54000000004,106617.4666400002
6,2,4,668098.3200000001,669065.1599999999,192900.1143199997
6,3,4,190862.65000000002,181343.83000000002,46770.18416000011
6,4,4,478396.1,456983.06,126827.80799999971
6,5,4,725030.01,657944.7999999999,125062.26500000048
6,6,4,170734.56,127314.06999999999,25511.308639999956
6,7,4,827606.44,790189.78,115164.78564000002
6,8,4,683410.1399999999,643880.17,188857.1168799999
6,9,4,665584.9700000001,640406.33,191002.29948000042
6,10,4,594327.16,582514.0800000001,166970.5721200002
6,11,4,322061.73000000004,302704.89,86503.69196
6,12,4,86956.01999999999,74296.42,22503.941439999955
6,13,4,518961.64,462371.47,140880.41075999994
6,14,4,496778.95000000007,478122.37000000005,94163.67664000018
6,16,4,103415.04999999999,105166.04000000001,28132.664160000062
6,17,4,262569.45999999996,233773.58000000002,51077.34672000005
6,18,4,448094.8,465409.95000000007,85563.35756
6,19,4,28455.979999999996,46709.64000000001,12805.366639999995
6,20,4,111907.15000000001,107422.96000000002,28158.23239999996
6,21,4,152425.75,120734.48,30562.00375999996
6,22,4,340411.08,294166.8,66773.95327999993
6,23,4,511201.47000000003,471817.91,109209.91227999957
6,24,4,124848.84000000001,122571.95,30002.74223999996
6,25,4,187372.64,169069.23,45071.700159999884
6,26,4,163297.89,153704.87,40483.86399999998
6,27,4,42535.42,37706.310000000005,9418.932320000002
6,28,4,12384.630000000003,11062.149999999998,2718.236720000008
6,29,4,120062.12000000001,114230.97,25472.582120000054
6,30,4,68940.02,53512.40999999999,15840.204000000009
6,31,4,50252.09,52579.18,12714.06991999997
6,32,4,230186.16,195958.29,35820.41983999993
6,33,4,130117.24,121252.25000000001,27701.863480000084
6,34,4,244484.49,229255.95000000004,67971.30047999977
6,35,4,48776.25,43476.729999999996,12028.87220000003
6,36,4,29252.0,28937.22,5417.316679999992
6,37,4,52484.66999999999,48156.08,15270.833800000024
6,38,4,999678.5799999998,993134.0,282300.828279999
6,40,4,895653.7699999999,855695.89,250764.47652000052
6,41,4,72214.13,46775.600000000006,16328.211040000035
6,42,4,126517.47000000003,116349.37999999999,31914.24268000002
6,44,4,118765.21,129984.74999999997,37345.071919999886
6,46,4,393963.96,377081.23,91827.87371999997
6,48,4,30909.92,43335.95,11668.347200000007
6,49,4,156434.72,136586.46999999997,33290.30063999996
6,52,4,61515.229999999996,73691.76,17020.824839999947
6,54,4,3112.26,2217.42,412.5528800000002
6,55,4,388148.39,316482.29000000004,53529.40792000022
6,56,4,53255.75,43620.46,12007.68712000002
6,58,4,60124.0,43450.0,12544.239000000009
6,59,4,59277.83,27192.98,2167.690000000001
6,60,4,21.0,5029.92,1307.24408
6,67,4,167347.49000000002,171129.78,41189.680400000034
6,71,4,81822.86000000002,81471.5,20607.53664
6,72,4,1508878.3900000001,1446490.98,312101.3018000009
6,74,4,307430.89,293322.37,79082.77824000006
6,77,4,0.0,1272.0,990.9672799999996
6,79,4,327719.56000000006,306395.31000000006,89754.80327999976
6,80,4,177611.25000000003,174957.37,53499.83435999998
6,81,4,199208.93000000002,186611.26,56301.72123999986
6,82,4,356161.94,364422.84,78856.71324000004
6,83,4,49092.170000000006,44895.9,14062.020240000043
6,85,4,45195.94,39270.57,8220.660399999984
6,87,4,532162.4600000001,568156.02,174015.71268000017
6,90,4,760499.4099999999,780399.3099999999,226467.32396000094
6,91,4,627738.76,579254.1099999999,178469.14704000048
6,92,4,1470369.2800000003,1496142.4100000001,422157.4458000004
6,93,4,590945.45,567028.41,181724.6330400005
6,94,4,495626.15,512513.65,147244.13779999997
6,95,4,1091928.94,1073381.4500000002,328617.4785999993
6,96,4,399770.14999999997,383092.23,118082.42184000027
6,97,4,275941.86000000004,258681.53999999998,75153.22576000015
6,98,4,135657.06,155371.1,45107.20704000013
6,99,4,0.0,8735.0,580.6182399999999
7,1,4,155541.25,159454.78,39258.2595599999
7,2,4,300540.8,308587.87,87732.21239999996
7,3,4,108704.18000000001,114487.24999999999,29973.63039999999
7,4,4,199399.96,199789.71999999997,55993.11016000003
7,5,4,294308.52999999997,289694.99000000005,81300.50648000008
7,6,4,129341.79,99047.83,15522.178959999954
7,7,4,206639.77000000002,193024.09,57480.62951999993
7,8,4,196575.78,183970.18,53241.613439999965
7,9,4,273403.79000000004,316211.69999999995,117266.35791999966
7,10,4,347709.42,330394.18,90800.36847999995
7,11,4,263432.27,270707.36999999994,56884.366000000075
7,12,4,71331.58,70184.69000000002,18673.199519999995
7,13,4,202007.16999999998,195702.86,56581.1237599998
7,14,4,172264.33,183278.18000000002,47413.231720000054
7,16,4,76285.79999999999,71884.20000000001,21724.085159999908
7,17,4,97837.05,102616.32,22990.381880000066
7,18,4,159274.7,165145.45,29271.060719999972
7,20,4,46664.719999999994,48758.47,12902.31411999997
7,21,4,22670.88,24534.14,6429.065359999981
7,22,4,122865.88000000002,127059.85999999999,28415.79651999989
7,23,4,241329.03,247369.30999999997,58338.723760000044
7,24,4,38194.33,55123.11000000001,11530.815599999989
7,25,4,92381.23,83991.93,20005.153239999992
7,26,4,31970.1,33053.25,9122.900639999998
7,27,4,8263.599999999999,9551.180000000002,2786.971399999993
7,28,4,1998.21,3906.41,1022.6971199999977
7,29,4,25254.890000000003,19605.63,5504.973200000004
7,30,4,11979.56,10600.76,2986.927240000007
7,31,4,39140.78,31235.799999999996,7273.204199999976
7,32,4,98797.97,89442.3,16041.226720000028
7,33,4,38437.2,44509.75,11187.106439999972
7,34,4,58067.25,47518.49,13689.676280000023
7,35,4,6156.5,4098.700000000001,1359.3751600000012
7,36,4,31801.5,39799.07,6961.471760000007
7,38,4,385918.83999999997,385746.72000000003,102167.52412000007
7,40,4,409513.62999999995,400604.61000000004,105350.54991999986
7,41,4,13857.3,26580.7,7536.2544399999815
7,42,4,82149.31,85535.70000000001,24162.06135999997
7,44,4,55813.549999999996,63466.12,15452.025679999968
7,45,4,79.91,232.85999999999999,34.05439999999993
7,46,4,182576.61,179764.27,42664.16623999993
7,48,4,0.0,13892.0,4578.5976
7,49,4,-15.0,498.9599999999999,133.17523999999972
7,52,4,19252.75,19073.78,4632.696440000006
7,54,4,864.96,418.71999999999997,71.46563999999988
7,55,4,150858.01,159526.13,25463.494519999924
7,56,4,16157.489999999998,16195.720000000001,4508.846640000006
7,58,4,12991.0,7095.0,6721.494440000001
7,59,4,1522.66,1182.01,181.66331999999977
7,60,4,1610.4,1672.0,269.7914800000001
7,67,4,60860.770000000004,59189.05999999999,14175.535520000049
7,71,4,34714.979999999996,33976.15,8712.524599999999
7,72,4,845505.32,911878.4299999999,174122.72859999983
7,74,4,137120.55,150737.31999999998,40340.83208
7,79,4,76825.63,76073.6,18145.22071999998
7,80,4,5028.84,6778.28,2159.340639999996
7,81,4,78651.75,90984.01000000001,27410.58791999999
7,82,4,151690.62000000002,144095.78,34342.84308000008
7,83,4,5969.5,9627.2,2630.4398000000015
7,85,4,34385.47,40342.38,7395.91319999998
7,87,4,151788.22999999998,172467.63999999998,52483.293880000056
7,90,4,188338.36,220989.31,67418.19240000015
7,91,4,154153.15000000002,151633.17,42015.401359999945
7,92,4,368339.5,400817.62,110098.8506000002
7,93,4,13096.399999999998,20810.420000000002,6501.788560000015
7,94,4,2560.79,2988.89,874.5208400000021
7,95,4,399167.59,448594.85,131514.17851999964
7,96,4,13506.300000000001,16525.66,4814.967880000004
7,97,4,50799.979999999996,66720.4,17097.23871999999
7,98,4,2733.5899999999997,2947.4900000000002,787.0155200000028
8,1,4,271907.41,264494.64999999997,71478.63020000003
8,2,4,506298.9000000001,468367.9800000001,138067.93592000028
8,3,4,113437.0,102811.14,28190.78024000008
8,4,4,301776.67,289731.86,84826.74828000007
8,5,4,438876.1599999999,387132.17,81621.66463999992
8,6,4,80000.74,62064.719999999994,10130.088880000027
8,7,4,470851.51,457561.22000000003,87453.11255999998
8,8,4,368267.61000000004,345223.21,109344.61984000017
8,9,4,153347.79000000004,145969.09,42942.67532
8,10,4,279345.66000000003,264350.50000000006,77524.24839999981
8,11,4,276066.71,272720.06000000006,66595.30264000018
8,12,4,79667.83000000002,84181.08,23701.739279999976
8,13,4,355349.86999999994,318253.61,95660.0616799999
8,14,4,219545.92,212537.86000000004,51791.800199999976
8,16,4,48856.13000000001,51766.01999999999,18886.063519999996
8,17,4,122956.95999999999,110041.48999999999,25367.275999999998
8,18,4,254436.37000000002,246023.63000000003,44974.332560000104
8,19,4,28538.96,9408.34,2772.650559999993
8,20,4,42909.77999999999,46416.57,12541.554520000009
8,21,4,80173.18,61291.56,16165.42719999997
8,22,4,135082.31999999998,110602.88,28674.519200000035
8,23,4,282864.80000000005,267228.72,62853.78319999988
8,24,4,77232.42,74821.66,18457.40759999995
8,25,4,108891.23,96986.59,26005.799439999944
8,26,4,123730.09000000001,98719.14000000003,26193.358239999998
8,27,4,22423.269999999997,17658.760000000002,5005.603840000005
8,28,4,7831.03,4065.7200000000007,1343.825040000001
8,29,4,57464.96999999999,41848.100000000006,10438.208200000017
8,30,4,30455.260000000002,24823.799999999996,6388.763200000022
8,31,4,21694.64,25457.999999999996,6548.615679999985
8,32,4,116202.57,101552.73,20128.495359999968
8,33,4,83919.37,81022.67,23643.469639999945
