Dept,Q_2010,Q_2011,Q_2012,Quarter,Store,Q_2013
11,329333.68,339301.35,84890.92000000001,4,1,17306.55334973597
12,82693.25,119403.2,132697.06,1,1,157926.15540000008
12,148392.65999999995,157685.61000000002,146381.39,2,1,154467.10648000007
12,143414.66999999998,145961.38999999998,145058.33,3,1,148000.59843999965
12,128289.27,122529.35000000002,38509.8,4,1,6367.802356396579
13,302266.65,449639.81,515768.86,1,1,553813.8731999992
13,497620.65,483028.07,522640.09,2,1,489738.37919999973
13,523684.06,537587.4600000001,530876.1900000001,3,1,506464.05899999855
13,525897.78,485456.41,158615.88,4,1,39811.769911453724
14,130377.33,178411.08,204211.61,1,1,220145.8093599999
14,170957.55,174084.23000000007,193308.20000000004,2,1,205432.1348
14,173586.13999999998,175124.78,169911.88999999998,3,1,162092.08736000027
14,283829.56,280583.05,49017.36,4,1,4090.020318095239
16,158146.36,224466.02,288952.83,1,1,333310.0554799999
16,588642.13,536327.4600000001,550119.92,2,1,559737.4926000002
16,312728.93000000005,267589.43999999994,279007.66000000003,3,1,275615.2913599998
16,111840.14,94481.75,41299.13,4,1,6672.951605745916
17,96228.72,119712.49,119485.49,1,1,133214.55343999973
17,116862.37,110569.93,103860.46,2,1,110172.03491999989
17,121668.69999999998,109914.04,103802.27,3,1,102473.94932000003
17,151762.19999999998,129010.88000000002,32230.230000000003,4,1,8013.7779137306725
18,50154.95,52144.07,67262.99,1,1,79197.82211999985
18,27239.020000000004,30258.98,19496.670000000006,2,1,22335.717159999997
18,5116.47,6927.36,8905.58,3,1,10253.755960000004
18,295605.72,270400.97,43966.62,4,1,3833.8194783158115
19,14149.64,15311.2,12281.49,1,1,16492.721839999995
19,18701.800000000007,14189.78,14613.850000000002,2,1,17044.36128000001
19,20608.07,12692.93,13729.42,3,1,13710.562599999994
19,23315.94,14948.9,5496.63,4,1,818.6282367020953
20,36805.47,43118.580000000016,62250.979999999974,1,1,69442.60156000007
20,57628.61,51106.69,58696.49,2,1,64166.127160000004
20,54897.19999999999,58898.92,53766.65,3,1,51415.78788000003
20,48199.67999999999,46093.64000000001,13631.82,4,1,1718.6202781771444
21,66197.41,88704.59,103123.97,1,1,112325.23471999995
21,103216.44,93267.85,96551.3,2,1,101241.58692000006
21,100492.69000000002,108477.74999999996,91332.65,3,1,81285.78148000005
21,116585.54,118038.09,30620.15,4,1,9997.43615635468
22,85412.31999999999,112831.35,115618.21,1,1,141776.09380000006
22,83542.1,84266.78,86638.35000000003,2,1,86220.45883999995
22,95372.53999999998,98819.54,86177.75000000001,3,1,85453.19031999994
22,141274.38,128233.0,33260.57,4,1,7555.585168637339
23,161797.39,244035.05,255263.36,1,1,268822.6000400001
23,291960.54,271475.49,287186.36,2,1,310828.73588000005
23,269078.78,262104.33,254766.24,3,1,241718.7678800002
23,376047.01,339245.42,79155.44,4,1,19513.711223101305
24,50741.61,69502.71,66408.23000000001,1,1,73602.20467999995
24,70193.75,54919.03,59105.0,2,1,64535.935839999984
24,97088.17,81014.92,99620.93,3,1,95492.30595999995
24,113278.21,95406.64,27517.53,4,1,10041.50159356534
25,92509.42,111024.67,129624.36,1,1,143895.97615999982
25,154491.53,134159.06,144416.09000000005,2,1,150479.79772000012
25,117279.18,122117.85,117189.25,3,1,113569.64800000028
25,148952.81999999998,138626.05,41393.88,4,1,5176.018931163809
26,71320.58,77358.82,87303.48,1,1,98407.88835999987
26,96586.95,77122.75,78593.57,2,1,83241.39819999985
26,75914.20999999999,68342.22000000003,69615.79,3,1,69145.55767999995
26,123782.25,105908.36999999998,35974.62,4,1,6366.9222439066725
27,13816.25,17940.19,21545.28,1,1,25953.71156000001
27,12689.48,12368.34,12946.94,2,1,13921.987879999986
27,13427.700000000004,12513.809999999998,15073.12,3,1,16740.101359999993
27,27753.49,29917.880000000005,6582.42,4,1,1146.6307867626665
28,7464.82,8590.77,8035.52,1,1,9989.205800000012
28,8325.22,6580.199999999999,5657.440000000001,2,1,5657.939159999992
28,6276.970000000001,5439.26,4502.129999999999,3,1,5424.224960000004
28,12133.27,9172.7,2637.0,4,1,945.9499451870478
29,45736.57,60305.75,64095.22,1,1,70154.30595999998
29,55892.27,53287.97,49732.73,2,1,48053.35639999999
29,60978.21,50192.54,49258.8,3,1,45478.8804
29,84362.59999999999,75686.27,15569.82,4,1,2765.0064433638054
30,34697.48,45897.79,42649.83,1,1,48433.28252000003
30,54292.49000000001,49058.85999999999,43166.64,2,1,47497.52680000002
30,50299.64,45087.58000000001,36981.35,3,1,41820.801479999995
30,42360.32,33726.060000000005,10169.15,4,1,3064.463049670857
31,20901.63,30186.29,24357.57,1,1,26432.780199999972
31,21135.46,20804.25,16639.809999999998,2,1,18429.44488000001
31,47738.01,47575.12,42605.88,3,1,41673.13371999997
31,38401.55,27791.830000000005,6282.8600000000015,4,1,818.4897385653333
32,84718.48,100237.15,113101.66999999998,1,1,125730.33552000002
32,107729.38,98352.18,96154.18,2,1,96515.62912000014
32,81857.32999999999,89137.55,76606.94000000003,3,1,84184.93407999999
32,159426.98,142408.85,23250.89,4,1,7711.27629841752
33,52900.09000000001,61835.6,61093.0,1,1,67914.71124000005
33,72876.36,55674.89,62255.65,2,1,68201.11507999986
33,88698.63,78043.27,94859.38,3,1,91419.33996000004
33,103782.1,92443.50999999998,25877.18,4,1,9240.374422816001
34,99527.49,130291.96000000002,154334.51,1,1,171927.28304000036
34,174717.29,140131.25999999998,192107.04000000004,2,1,204619.63544000016
34,125913.03,140770.03999999998,136619.59,3,1,134405.01359999995
34,160586.45,152764.72,41145.55,4,1,4679.06620972381
35,19873.9,30696.329999999994,31879.32,1,1,33487.61024000004
35,39783.5,37758.14,36609.44,2,1,38403.07748000001
35,30005.54,31619.6,24327.910000000003,3,1,26834.36615999998
35,38339.5,34813.91,6902.43,4,1,3488.9865345280004
36,4832.0,9514.0,16962.16,1,1,21146.4154
36,29720.12,28676.0,31169.24,2,1,27385.11036000003
36,15345.5,13280.28,12953.6,3,1,12245.895800000013
36,20081.0,24245.36,4317.85,4,1,753.5906211146664
37,24624.15,36094.82,36654.4,1,1,45106.363319999975
37,37730.84,35230.73,35409.77,2,1,35233.891079999965
37,38043.29,38088.74000000001,36618.63,3,1,37534.34556000001
37,37672.67,34303.25,9999.51,4,1,3277.5669983276193
38,774608.22,910564.7899999998,1052111.03,1,1,1117328.3874400004
38,1227464.45,1031378.58,996894.5299999998,2,1,1040573.7425199996
38,1066404.1,1034199.5800000002,984761.14,3,1,966874.2522799963
38,1053399.61,1012607.07,292492.73,4,1,72430.86625754408
40,502528.58,757096.05,816451.1599999998,1,1,856205.4679999994
40,739790.14,733594.5299999998,766584.83,2,1,769073.7194000012
40,719728.16,758571.7399999999,744959.4999999999,3,1,734485.3651599993
40,832999.7000000002,758711.7000000002,235972.42,4,1,72840.23972591921
41,9091.66,10510.87,6041.64,1,1,7315.816799999997
41,11294.76,9968.0,5492.97,2,1,6515.565919999997
41,22012.87,12085.75,11522.17,3,1,15192.34028
41,24334.77,24679.840000000004,5226.76,4,1,638.811430744
42,66481.23999999999,97833.17,106809.85,1,1,124972.80295999988
42,110392.57,104259.63999999998,107593.03999999998,2,1,114864.56848
42,102544.85,107907.80999999998,103016.85,3,1,99834.43068000012
42,103884.22,95787.92,28955.49,4,1,10977.979742832013
44,34479.3,48119.95,60835.4,1,1,71146.43392000011
44,57047.8,55638.9,60259.23,2,1,65588.97120000004
44,58464.48,62616.88,67956.67,3,1,63984.421639999906
44,78952.1,87933.95999999999,24494.92,4,1,8061.703837563427
45,263.08,172.04999999999995,83.79,1,1,178.46362240000002
45,136.19,117.7,83.76,3,1,136.9615705999998
45,352.57,197.49,31.410000000000004,4,1,64.64748864799999
46,153980.28,229225.23,253449.39,1,1,280864.3002799998
46,248198.92,261386.02,269297.67,2,1,277909.91467999987
46,233333.96,253981.59,237732.55,3,1,231267.67584000027
46,308203.03,293196.25,69822.66,4,1,18069.225941095992
47,-1491.0,0.0,-397.0,1,1,-659.0574
47,14.0,-298.0,178.0,2,1,131.81950784000009
47,0.0,0.0,317.0,3,1,165.1627408
48,3992.0,6781.0,13966.0,1,1,16084.722240000012
48,3759.0,5169.0,10684.0,2,1,12618.243360000013
48,2680.0,5355.0,10893.99,3,1,13913.159200000016
48,15902.0,27391.0,8143.0,4,1,1570.3768917908549
49,112845.99,157118.22999999998,160474.83999999994,1,1,166982.11976000026
49,143863.47000000006,145388.61,137831.44999999998,2,1,144973.25207999992
49,152617.46999999994,170241.35,138662.0,3,1,144413.6412399999
49,142633.71999999994,133285.58,40661.46,4,1,4255.033915601911
52,23869.47,28591.78,23529.88,1,1,29752.3836
52,35057.96,31448.07,27665.610000000004,2,1,28539.678920000042
52,30780.34,27056.82,23985.41,3,1,29232.349479999957
52,42932.82,33342.46,8567.21,4,1,2306.8258096674267
54,2347.9700000000007,480.48000000000013,402.04,1,1,347.42275999999964
54,2698.9700000000007,467.8,585.04,2,1,532.9156745119997
54,1907.0,527.4600000000002,350.42,3,1,330.9417380800002
54,1348.5600000000004,780.2,196.56,4,1,61.58327389123808
55,131212.65000000002,172060.17,165395.21999999994,1,1,187139.97691999972
55,149102.53,131969.63999999998,122240.5,2,1,123191.33947999988
55,138630.03999999998,131163.59999999998,115788.91,3,1,107665.90220000011
55,271893.74,259916.15,43578.45,4,1,2817.41169261448
56,43145.19,60608.25,70078.56999999999,1,1,74842.77776000001
56,110902.37,96933.32,88720.01000000002,2,1,87929.83960000002
56,22886.34,15148.5,20137.51,3,1,23196.730759999988
56,20076.09,17483.28,5949.300000000001,4,1,625.4256240266665
58,35749.97,25390.0,38964.0,1,1,41636.633799999996
58,58215.0,38766.97,32053.97,2,1,33380.80499999999
58,51268.0,51013.97,45449.0,3,1,43497.10019999998
58,40507.0,44850.97,20035.0,4,1,5111.609758900939
59,10265.680000000002,5739.44,2861.5,1,1,3211.6855599999976
59,12508.45,3637.24,2259.24,2,1,3505.7234000000053
59,8574.800000000001,2933.69,2308.42,3,1,2924.7201599999985
59,48249.51000000001,22599.43,724.4399999999998,4,1,1360.185399500759
60,8199.8,12655.4,12820.2,1,1,14791.135640000015
60,13198.2,13455.2,12571.8,2,1,13525.799919999996
60,13563.0,12759.999999999998,11601.0,3,1,14008.148720000001
60,16118.8,14784.0,4275.0,4,1,1022.4578034106675
67,74308.86,83996.73,94408.02,1,1,97435.75608000015
67,129375.55,114645.75,121221.77000000002,2,1,124886.25899999998
67,77704.7,71395.06000000001,74434.65000000001,3,1,74160.72020000001
67,100960.01,94434.84,26464.54,4,1,3028.92657012266
71,27919.370000000006,36005.64,46743.59,1,1,50386.81607999999
71,30193.07000000001,26003.38,31847.800000000007,2,1,28491.887959999996
71,34670.18,39574.970000000016,32829.03,3,1,35835.04752000006
71,36741.88,40575.91,7638.87,4,1,1875.6230991329496
72,498542.39,595551.96,709317.06,1,1,760948.30276
72,514797.36,477444.92,516367.46,2,1,524224.5883599997
72,507295.01,555914.3200000001,542352.92,3,1,516709.6456400001
72,818989.3200000002,872038.4899999999,168251.01,4,1,45053.08614444795
74,99833.15,144141.07,160752.33000000002,1,1,169577.15696000028
74,146948.5,138517.40999999995,158209.0,2,1,156930.76476000014
74,173865.02000000005,149422.22000000006,154406.09,3,1,151725.51375999989
74,160027.05000000002,144387.43999999994,35845.04,4,1,1612.665642582095
77,0.0,0.0,396.0,1,1,2080.097805866667
79,286690.99,410083.09,470699.65,1,1,502124.3039199999
79,439450.56,436440.06,459354.2,2,1,498969.7758000008
79,425922.9900000001,461386.11,450183.0900000001,3,1,404453.31483999983
79,434681.2899999999,443712.69,139790.67,4,1,35884.28453043201
80,124654.11000000002,189858.54,240219.52,1,1,287846.29436
80,196489.01,216992.72,256600.74,2,1,277739.7796399997
80,203035.62,223671.39,255176.08,3,1,244870.8070799998
80,224298.61,241768.63,78157.02,4,1,19719.42380071579
81,237134.27,349188.36,398518.57,1,1,429765.9080400002
81,381485.93,388666.42999999993,417022.88,2,1,442838.68512000004
81,381631.76000000007,403949.41,403644.04,3,1,399984.1664400004
81,401060.5,375358.44,120979.02,4,1,31498.87271669329
82,152656.85,256572.33,257726.78000000003,1,1,283762.73635999975
82,230362.26,262713.52,263963.99,2,1,276300.70051999966
82,227284.03000000012,261558.58000000005,256859.10000000003,3,1,251144.6808
82,379373.19,332922.39,82091.09,4,1,20486.482237695996
83,56181.90000000001,83340.37999999999,84064.91,1,1,99999.5661599999
83,71123.62,69769.75,75966.08999999997,2,1,86351.90864000007
83,67361.73999999999,74850.45000000001,80011.31000000001,3,1,90615.99776000003
83,67628.06,62170.97,23209.82,4,1,2449.9736239062795
85,36790.99000000001,38342.22,36800.85,1,1,40730.44095999999
85,56605.59,46452.93999999999,47660.33,2,1,50408.87576000006
85,51989.69999999999,42078.42000000001,38704.320000000014,3,1,36178.68471999998
85,65765.56,54271.00000000001,11618.28,4,1,2409.108695675809
87,242761.47000000003,618914.6000000001,681217.53,1,1,753890.4056800003
87,438623.22,625660.2400000001,670568.91,2,1,730877.9273999995
87,496430.63,676125.9099999998,675482.0399999998,3,1,651388.6532000003
87,602598.87,638437.69,212076.53,4,1,62502.615116419845
90,604137.58,940081.61,1142787.5699999998,1,1,1189292.5529200013
90,959731.46,1047075.29,1128178.0799999998,2,1,1129150.677080001
90,967918.64,1171982.0499999998,1141806.7000000002,3,1,1017310.8092399987
90,1110429.8,1211638.9500000002,361371.61,4,1,100318.69864194402
91,494997.64,784630.1099999999,878074.5700000002,1,1,950019.0456000012
91,789822.2599999999,830880.5600000002,879229.45,2,1,903599.2388400007
91,825037.94,912514.82,874646.7899999998,3,1,775009.9111199991
91,838977.12,820991.69,256365.96,4,1,69446.3061526667
92,1044568.4,1586720.73,1864826.42,1,1,2202913.1421200056
92,1591285.41,1650006.16,1815002.77,2,1,1975476.9106399997
92,1616450.78,1806903.86,1835528.84,3,1,1964437.4754400016
92,1946318.47,2018072.94,594947.86,4,1,184763.89784865902
93,499915.59,833209.92,971726.8,1,1,1026325.4817599985
93,841178.3200000002,943444.42,999171.95,2,1,1047165.8420800011
93,857006.1300000001,1008581.1,1008992.39,3,1,965035.2329599971
93,973404.61,1007987.36,308364.49,4,1,83280.42353489588
94,491104.46,748606.65,829145.85,1,1,891284.2861199996
94,844881.5100000001,911096.72,861168.46,2,1,905473.5670800022
94,803169.5499999998,927219.49,825737.76,3,1,781903.9328399993
94,773217.52,769954.8799999999,249518.4,4,1,69224.77561998136
95,885374.7100000002,1354300.84,1542862.55,1,1,1526696.818559999
95,1579553.79,1603753.28,1695822.4,2,1,1773684.071879996
95,1590759.3199999996,1791008.37,1682154.79,3,1,1681794.4461599975
95,1551344.2500000002,1501179.8199999996,492290.77,4,1,139579.40077168326
96,0.0,341693.78,440013.01,1,1,491637.04092000064
96,0.0,467308.94,516967.76,2,1,542893.7182799992
96,367155.0,465056.0199999999,475308.38000000006,3,1,478538.3478400014
96,401083.07,442099.64,140037.86,4,1,37189.137391954486
97,250871.82,414365.46,458851.87000000005,1,1,517784.6914000007
97,424822.57,477606.26,474944.9099999999,2,1,479333.5115999998
97,450273.12,511255.02,485111.73,3,1,448971.25183999987
97,480763.04,456581.0199999999,149204.06,4,1,45143.424884678476
98,93271.37,139406.23,162296.12,1,1,176829.2176400003
98,144592.56,146392.08,159828.26,2,1,168627.31072000018
98,135149.43,145848.37999999998,147234.26,3,1,148322.5013599999
98,180411.47,184831.09000000003,52109.97,4,1,2921.8022407706667
99,0.0,430.0,2230.0,1,1,6206.299599999993
99,0.0,330.0,485.0,2,1,1119.8767804799998
99,0.01,690.0,40.36,3,1,396.66841756266666
99,0.0,6405.0,715.0,4,1,2477.274688562663
1,296395.43,357004.01,407320.95,1,2,476965.2752800003
1,410614.95,395084.9600000001,394618.81,2,2,403998.88968000055
1,305253.22000000003,308540.43,318297.98,3,2,302008.7081199998
1,559634.58,506113.47,142372.46,4,2,36522.41564916231
2,535093.9600000001,770877.5599999998,857656.0800000002,1,2,963229.4512400015
2,879192.1200000001,831075.63,858048.37,2,2,907348.9248000019
2,886703.0700000002,899140.8599999999,872397.88,3,2,765238.9367199999
2,929773.88,851813.4099999998,253775.1,4,2,62548.97781064107
3,111695.68,150493.20999999993,179435.22,1,2,200555.91064000016
3,150457.43000000002,144169.13999999996,142482.44,2,2,150170.24496
3,395626.7,404435.28,404682.38,3,2,402653.04859999946
3,191739.67,179114.99,44816.42,4,2,4150.336881378667
4,355642.67999999993,542093.91,577926.63,1,2,591288.5461200007
4,593879.1100000001,558623.36,598937.1499999999,2,2,636018.44312
4,606013.6200000001,616536.53,597787.4099999999,3,2,563905.3709199998
4,683270.9900000001,610651.0000000001,180533.93,4,2,36780.57261848271
5,278742.82,361908.94,398696.17,1,2,426105.4863999999
5,353273.1999999999,315148.87999999995,287029.8500000001,2,2,311660.6440800002
5,296605.6,297785.7,291091.18,3,2,285471.44284000003
5,734476.1300000001,639419.0299999999,115232.59,4,2,21350.1373025235
6,66889.14,65508.42,58598.64,1,2,56620.19680000005
6,110040.74,84229.93999999999,67253.15000000001,2,2,62224.75359999996
6,88014.66999999998,64603.62,60141.70000000001,3,2,56809.92120000006
6,167888.36000000002,119207.48,21222.84,4,2,7507.287987689522
7,228646.93,317777.33,331366.37,1,2,362362.2515199997
7,505084.24,459355.23999999993,529121.24,2,2,570488.8241999998
7,375358.2,367566.59,407782.0399999999,3,2,394945.0289999993
7,1106477.78,1015593.6700000002,144201.07,4,2,36092.96028541296
8,508513.22,706762.9299999998,763339.4399999998,1,2,780727.3294400005
8,770983.7100000002,742661.99,797773.0500000002,2,2,785562.5474000003
8,732586.2300000002,758048.4800000002,764144.47,3,2,739901.460759999
8,848818.9900000001,750986.85,250534.47,4,2,60874.002257748514
9,230750.85,325345.16,385751.53,1,2,427237.22231999936
9,498920.0,452673.02,502533.49,2,2,538260.0927199989
9,455986.06000000006,454537.2,455899.53,3,2,452660.3492800006
9,538213.2,475667.91,139470.66999999998,4,2,37544.53044186098
10,312965.65,462897.37,494922.39,1,2,532435.5628799988
10,542547.21,499080.77,518902.94,2,2,536078.5657999994
10,526983.2699999999,548873.3500000001,504154.27,3,2,457994.31131999893
10,510011.7899999999,491942.71,141675.47,4,2,37361.10789324764
11,159840.63,256890.19000000003,270683.00999999995,1,2,318914.89611999964
11,335710.98,314509.99000000005,314042.60000000003,2,2,318893.3622399998
11,317043.4500000001,327723.71,294533.49,3,2,284056.9624800001
11,357070.31000000006,316019.13,79656.63,4,2,19967.19785134397
12,60561.51,80698.05,93296.2,1,2,121528.7785600005
12,115449.16,102508.5,111090.55999999998,2,2,115785.05867999996
12,113572.71,101533.69,104977.05999999998,3,2,99310.5751600002
12,103008.11,89009.3,30535.47,4,2,10218.512833706678
13,395491.23,559760.51,588426.6900000001,1,2,607253.7988400005
13,633228.91,558411.78,603619.78,2,2,647278.7288799996
13,636160.77,613246.26,600994.4899999999,3,2,573086.66896
13,657652.5,559774.62,188100.63,4,2,37493.234459192354
14,182294.77,236530.21,276150.72000000003,1,2,325801.3928399997
14,238636.8,233452.09000000003,274276.75,2,2,282368.3915999999
14,244245.84000000003,236811.99,230449.67,3,2,230825.15620000032
14,420216.11,399441.53,75414.53,4,2,21137.048493447594
16,158895.28,243383.74,276889.3,1,2,329174.5440799998
16,721372.9099999998,576559.21,630729.8300000001,2,2,685265.2028799993
16,368931.6,334489.43000000005,309030.55,3,2,287864.4201599998
16,116707.86,93603.31,31147.67,4,2,8716.238299109342
17,132129.22,157210.74,192138.17,1,2,216227.27392
17,152417.62000000002,150318.79,173721.38999999998,2,2,189081.19716000024
17,169910.46000000002,182411.53,172644.17,3,2,164844.70108000032
17,218536.05,218694.66,51959.35,4,2,4077.1094573565706
18,59944.62,66240.05,86233.76999999999,1,2,102150.28519999987
18,36080.88000000001,40453.73,28510.899999999987,2,2,32341.36684
18,10419.39,16567.09,22441.54,3,2,24174.47888000003
18,449318.36,427239.53,77244.76000000001,4,2,18216.607843887978
19,35731.429999999986,51516.59,46821.12,1,2,58862.219359999974
19,47441.31000000001,48396.85,46748.39000000001,2,2,53856.94192000004
19,59653.17,49733.08,43378.42,3,2,40517.06003999996
19,78091.46999999999,55872.83,16257.25,4,2,2837.630822374472
20,52914.66,64168.85999999999,79853.67999999996,1,2,94004.62023999987
20,88333.51,71628.62,81535.33,2,2,83649.11935999991
20,81317.67,75561.1,73005.68000000001,3,2,73482.91187999997
20,69576.26,66103.04,18054.17,4,2,6129.166845963415
21,96397.9,114393.3,117208.26,1,2,139400.78139999998
21,143721.94,122881.26,108128.52,2,2,109896.32520000022
21,141664.90000000005,128102.97,107177.39,3,2,100770.16192000012
21,166064.47,138051.06,33472.43,4,2,7434.769708077339
22,123223.17000000006,175089.98000000007,199641.92,1,2,213534.38124
22,131779.38,124019.67,135308.86,2,2,154634.65516000014
22,150155.03,144758.21,156613.96000000002,3,2,154161.48659999992
22,243348.51,211010.07,53042.22,4,2,3921.986400202666
23,209992.7,312646.2300000001,326459.22000000003,1,2,347056.82052000007
23,402662.81000000006,360460.25,390612.76,2,2,409412.26995999936
23,370528.6,356049.89,348769.69,3,2,331994.2177999995
23,519034.28,472619.54,101562.2,4,2,20354.531186914675
24,68717.08,81654.64000000001,74762.86000000003,1,2,93686.34076000004
24,91875.54,79179.2,75589.56000000001,2,2,77285.31519999997
24,133018.87,125741.20000000006,120702.13,3,2,118394.60432
24,164017.95,141138.37,31870.33,4,2,7888.920565256006
25,131698.75,178739.95,177440.78000000003,1,2,190609.42332000003
25,242914.75,198436.93999999997,200330.49,2,2,205243.56088000003
25,188169.3,187006.07,170308.12000000002,3,2,159218.37348000024
25,239506.41,214334.78,58943.35999999999,4,2,17160.740994104748
26,93528.33,105472.72999999998,112570.79,1,2,132101.96708000006
26,133311.72,105684.96,104565.97999999998,2,2,109295.50179999993
26,102727.05,103434.89,93797.85,3,2,92721.66144000011
26,181751.93,159667.82,40210.64,4,2,5302.746605121142
27,19094.0,25204.52,24758.42,1,2,25675.669159999987
27,17274.25,15391.240000000002,15932.33,2,2,16883.936000000016
27,18785.15,18048.910000000003,18399.87,3,2,17745.29492000003
27,42656.33,39303.499999999985,7978.99,4,2,1624.3609934053318
28,10969.75,11339.82,11185.37,1,2,18155.03772000003
28,11520.88,8517.140000000001,7039.45,2,2,7150.4124799999845
28,7717.05,5950.65,5517.0,3,2,5234.300599999991
28,18393.59,12814.46,3279.4300000000007,4,2,1909.109177474289
29,68551.01999999999,89692.65999999997,89108.02,1,2,97076.77543999995
29,89540.37999999998,78673.04000000001,79672.77,2,2,82155.63407999986
29,90345.42,80738.23999999999,80040.57999999999,3,2,81321.00695999982
29,130337.01,116460.05,23782.83,4,2,7884.847754755808
30,48497.58,67173.06,58257.29000000001,1,2,69520.58020000011
30,82351.90999999999,66000.70000000001,60802.38000000001,2,2,64966.216839999935
30,78483.86,64587.4,57677.63000000001,3,2,54782.54940000004
30,65045.74000000001,48731.22999999999,14696.44,4,2,2595.840481878473
31,27383.29,42532.2,41454.13,1,2,43670.51155999997
31,35134.17000000001,39259.99000000001,33813.46,2,2,34557.783879999995
31,67354.97,65412.88,61849.24999999999,3,2,60962.42532000009
31,66440.12000000001,60210.31999999999,14675.47,4,2,2595.840481878473
32,122121.7,148434.94999999998,145719.52,1,2,163955.47903999995
32,157327.62,131191.6,149102.91999999998,2,2,152828.26924000002
32,133452.99,123798.46,120751.44000000006,3,2,117723.35012000003
32,217340.02,198833.77,32903.840000000004,4,2,7596.127828210671
33,60874.51,72916.19000000003,68937.6,1,2,78243.53048000003
33,90699.67,77476.97,74786.61,2,2,75889.82011999993
33,111418.39,102977.58999999998,98607.23,3,2,99532.12400000003
33,148176.69,137737.56000000006,26188.86,4,2,9340.143682216001
34,155465.72,181199.25,202179.72,1,2,214334.71739999994
34,281401.67000000004,233067.30000000005,263235.36,2,2,269185.6468400003
34,219739.57,222733.52,209474.4,3,2,217674.40076000016
34,259498.03,220851.78000000003,67267.78,4,2,18247.77654195999
35,31028.01,45009.07000000001,48671.94,1,2,57460.29567999999
35,61336.0,56195.16,63677.81,2,2,70337.11131999988
35,42263.0,51337.41999999999,36133.96,3,2,36530.29723999995
35,53604.6,53366.43000000001,11585.77,4,2,2513.7724372598072
36,11966.0,21162.5,21133.59,1,2,26723.375879999992
36,65638.47,56059.47,63299.0,2,2,69978.2548799999
36,29511.74,21324.18,23537.86,3,2,23951.085440000003
36,30114.99,27495.11,5097.42,4,2,666.6180012106666
37,38866.88,56880.92000000001,61250.14000000001,1,2,70332.01984000005
37,62158.68,55565.29000000001,58350.28,2,2,66192.25163999994
37,62844.47999999999,57886.55999999999,56884.75,3,2,57114.30220000005
37,58684.58,55745.03999999999,18418.26,4,2,5800.329674877319
38,900320.1799999998,1111334.13,1131386.54,1,2,1139617.0523600015
38,1250127.53,1130481.65,1004929.09,2,2,992170.1908399997
38,1067483.85,1102528.51,905736.48,3,2,833860.6645199986
38,1194711.01,1089465.45,282940.01,4,2,70077.86417941339
